<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: candidate_pool.csv>index,candidate_id,优先级,基材类别,题名,年份,期刊,DOI,来源/下载链接,访问状态,TG证据,LOI证据,预计可贡献状态_低,预计可贡献状态_高,容量估计依据,候选说明,是否需用户下载全文,下载后动作
0,C001,A,棉,An innovative method for preparing durable flame-retardant cotton fabrics using tetrakis(hydroxymethyl)phosphonium sulfate without specialized equipment,2025,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.139279,https://doi.org/10.1016/j.ijbiomac.2024.139279,出版社页已找到；全文权限待下载,TG/DTG已确认,LOI已确认,6,14,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,两种FR/预处理+处理量+50洗涤状态；TG/LOI已从摘要确认,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
1,C002,A,棉,Fabrication of Highly Efficient Flame-Retardant and Fluorine-Free Superhydrophobic Cotton Fabric by Constructing Multielement-Containing POSS@ZIF-67@PDMS Micro–Nano Hierarchical Coatings,2022,ACS Applied Materials & Interfaces,10.1021/acsami.2c14709,https://doi.org/10.1021/acsami.2c14709,出版社页已找到；全文权限待下载,TG已确认,LOI已确认,6,14,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
2,C003,A,棉,Synthesis of a novel P-N flame retardant for preparing flame retardant and durable cotton fabric,2021,Industrial Crops and Products,10.1016/j.indcrop.2021.114205,https://doi.org/10.1016/j.indcrop.2021.114205,出版社页已找到；全文/补充材料待下载核验,TG已明确（N2/空气）,LOI已明确；含50次洗涤,5,14,根据出版社摘要/Highlights/SI中明确出现的对照、处理系列、添加量、层数或洗涤状态保守估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
3,C004,A,棉,"Eco-friendly, less toxic, and washing-durable flame-retardant finishing for cotton fabrics using a blocked isocyanate and 3-(dimethylphosphono)-N-methylolpropionamide",2021,Materials Chemistry and Physics,10.1016/j.matchemphys.2021.125149,https://doi.org/10.1016/j.matchemphys.2021.125149,出版社页已找到；全文权限待下载,TG/DTG已确认,LOI已确认,6,14,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,多组分配比+洗涤，样品状态潜力较大,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
4,C005,A,棉,Effect of phosphorus flame retardants on thermo-oxidative decomposition of cotton,2007,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2007.03.009,https://doi.org/10.1016/j.polymdegradstab.2007.03.009,出版社页已找到；全文权限待下载,TG已确认,LOI待PDF确认,7,14,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,多种有机磷阻燃剂,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
5,C006,A,棉,Thermogravimetric analysis study of the mechanism of pyrolysis of untreated and flame retardant treated cotton fabrics under a continuous flow of nitrogen,1994,Polymer Degradation and Stability,10.1016/0141-3910(94)90091-4,https://doi.org/10.1016/0141-3910(94)90091-4,出版社页已找到；全文权限待下载,TG已确认,LOI待PDF确认,6,14,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,商业水平多种阻燃处理；经典TG基准,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
6,C007,A,棉,"Construction of a bio-based macromolecular network for durable flame-retardant, superhydrophobic, and antibacterial cotton fabrics",2026,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2026.152136,https://doi.org/10.1016/j.ijbiomac.2026.152136,出版社页已找到；全文权限待下载,TGA待PDF确认,LOI/耐洗待PDF确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
7,C008,A,棉,Fully biobased materials for flame-retardant modification of cotton fabric through layer-by-layer strategy,2026,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2026.151471,https://doi.org/10.1016/j.ijbiomac.2026.151471,出版社页已找到；全文权限待下载,TG待PDF确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
8,C009,A,棉,Preparation of sulfur-containing protein-based ammonium phosphate flame retardants to achieve durable flame-retardant properties in cotton fabric,2026,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2026.150485,https://doi.org/10.1016/j.ijbiomac.2026.150485,出版社页已找到；全文权限待下载,TG/TG-IR已确认,LOI/燃烧性能待PDF确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
9,C010,A,棉,A novel green approach for enhancing cotton fabrics with flame retardant and hydrophobic properties via UV-polymerized poly (ionic liquid),2025,Colloids and Surfaces A: Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2025.136775,https://doi.org/10.1016/j.colsurfa.2025.136775,出版社页已找到；全文权限待下载,TG/DTG已确认,LOI已确认,5,12,按论文中对照/处理配方/浓度或洗涤状态估计；最终以PDF逐样品核验为准,,是,优先下载PDF及SI，逐样品建立sample_id并核对TG/LOI同状态
