<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: commercial_tg.csv>index,市售TG编号,证据等级,品牌/商业体系,具体样品/状态,关联product_id,品牌/厂家,基材类别,材料形态,组成/产品描述,面密度(g/m²),状态/处理,典型城市用途,气氛,气体流量(mL/min),升温速率(°C/min),温度起点(°C),温度终点(°C),T5(°C),T10(°C),T50(°C),Tonset/起始分解(°C),Tmax1(°C),Tmax2(°C),最大失重速率,速率单位,残余温度(°C),残余质量(%),LOI(%),其他TG/DTG原文信息,数值来源,来源类型,来源题名,年份,DOI,来源URL,匹配范围,限制/冲突,可直接用于数值分析,检索日期
0,CTG0001,B-明确商业品牌材料,Proban®,UNW,,Proban® commercial FR fabric,棉,织物,FR functional cotton fabric specified as Proban®,347.0,未洗,消防/工业防护服/城市应急工装,air (reaction gas; N2 purge),,30,30.0,850.0,,,,321.1,,,,,,,32.0,动态分解从321.1°C开始、353.79°C结束；单阶段失重41.456%；dTG最大速率温度约340°C。,正文明确数值+原文TG/dTG曲线,原始论文开放全文,Impact of Washing Parameters on Thermal Characteristics and Appearance of Proban®—Flame Retardant Material,2022.0,10.3390/ma15155373,https://www.mdpi.com/1996-1944/15/15/5373,品牌级商业面料实测；无具体SKU编号,不是当前07_市售产品中的某个确定SKU；约340°C峰温为原文约数。,是,2026-09-06
1,CTG0002,B-明确商业品牌材料,Proban®,46_10x,,Proban® commercial FR fabric,棉,织物,FR functional cotton fabric specified as Proban®,347.0,10次洗涤，washing process 46,消防/工业防护服/城市应急工装,air (reaction gas; N2 purge),,30,30.0,850.0,,,,,,,,,,,32.0,单阶段动态分解；dTG最大速率温度约340°C；精确起止温度/残余量需进一步数字化。,正文约数+原文TG/dTG曲线,原始论文开放全文,Impact of Washing Parameters on Thermal Characteristics and Appearance of Proban®—Flame Retardant Material,2022.0,10.3390/ma15155373,https://www.mdpi.com/1996-1944/15/15/5373,品牌级商业面料实测；无具体SKU编号,不是当前07_市售产品中的某个确定SKU；约340°C峰温为原文约数。,否,2026-09-06
2,CTG0003,B-明确商业品牌材料,Proban®,47_10x,,Proban® commercial FR fabric,棉,织物,FR functional cotton fabric specified as Proban®,347.0,10次洗涤，washing process 47,消防/工业防护服/城市应急工装,air (reaction gas; N2 purge),,30,30.0,850.0,,,,,,,,,,,32.0,单阶段动态分解；dTG最大速率温度约340°C；精确起止温度/残余量需进一步数字化。,正文约数+原文TG/dTG曲线,原始论文开放全文,Impact of Washing Parameters on Thermal Characteristics and Appearance of Proban®—Flame Retardant Material,2022.0,10.3390/ma15155373,https://www.mdpi.com/1996-1944/15/15/5373,品牌级商业面料实测；无具体SKU编号,不是当前07_市售产品中的某个确定SKU；约340°C峰温为原文约数。,否,2026-09-06
3,CTG0004,B-明确商业品牌材料,Proban®,48_10x,,Proban® commercial FR fabric,棉,织物,FR functional cotton fabric specified as Proban®,347.0,10次洗涤，water,消防/工业防护服/城市应急工装,air (reaction gas; N2 purge),,30,30.0,850.0,,,,,,,,,,,32.0,单阶段动态分解；dTG最大速率温度约340°C；精确起止温度/残余量需进一步数字化。,正文约数+原文TG/dTG曲线,原始论文开放全文,Impact of Washing Parameters on Thermal Characteristics and Appearance of Proban®—Flame Retardant Material,2022.0,10.3390/ma15155373,https://www.mdpi.com/1996-1944/15/15/5373,品牌级商业面料实测；无具体SKU编号,不是当前07_市售产品中的某个确定SKU；约340°C峰温为原文约数。,否,2026-09-06
4,CTG0005,B-明确商业品牌材料,Proban®,49_10x,,Proban® commercial FR fabric,棉,织物,FR functional cotton fabric specified as Proban®,347.0,10次洗涤，ECE-1 detergent,消防/工业防护服/城市应急工装,air (reaction gas; N2 purge),,30,30.0,850.0,,,,,,,,,850.0,14.932,32.0,单阶段动态分解；dTG最大速率温度约340°C；850°C残余质量14.932%。,正文明确数值+原文TG/dTG曲线,原始论文开放全文,Impact of Washing Parameters on Thermal Characteristics and Appearance of Proban®—Flame Retardant Material,2022.0,10.3390/ma15155373,https://www.mdpi.com/1996-1944/15/15/5373,品牌级商业面料实测；无具体SKU编号,不是当前07_市售产品中的某个确定SKU；约340°C峰温为原文约数。,是,2026-09-06
5,CTG0006,B-明确商业品牌材料,Trevira CS®,virgin PESFR/cotton fabric,,Trevira CS®,棉/聚酯,织物,warp=Trevira CS®; weft=30% Trevira CS® / 70% cotton,,未背涂基布,公共建筑窗帘/软包/交通内装参照,,,,,,,355.0,,,425.0,,,,,4.0,,三阶段降解；10%失重在355°C；主阶段最大速率425°C；470°C时该阶段失重72%；570°C附近最后阶段失重14%；最终残余4%。,ScienceDirect正文页面直接给出数值,原始论文/出版社正文页,Thermal and fire behaviour of ammonium polyphosphate/acrylic coated cotton/PESFR fabric,2005.0,10.1016/j.polymdegradstab.2004.02.022,https://www.sciencedirect.com/science/article/pii/S0141391004003301,Trevira CS品牌族实测；可给07表Trevira CS产品作品牌级辅助参照,测试的是Trevira CS/棉混纺，不可直接当作100% Trevira CS具体SKU的TG；最终残余未明确对应终温。,是,2026-09-06
6,CTG0007,B-明确商业品牌材料,NOMEX® IIIA,NOMEX IIIA fabric,C0082–C0086（仅品牌族辅助）,DuPont™ Nomex®,芳纶,织物,NOMEX/Kevlar/P-140 blend（当前摘要未列比例）,,原始商业品牌织物,消防服/应急服/工业防护,N2,,,20.0,800.0,,,,,462.9,,,,800.0,48.71,,N₂下Nomex® IIIA：Tmax=462.9°C；R500=73.72%；R700=52.34%；R800=48.71%。另一个较大分解速率区约560–570°C，对应para-aramid组分。,原始论文Table 2明确数值,原始论文,Thermal analysis and pyrolysis modeling of NOMEX IIIA fabric,2018.0,10.1080/00102202.2018.1459587,https://www.tandfonline.com/doi/full/10.1080/00102202.2018.1459587,品牌级织物实测；与Nomex Comfort/ProVis仅属品牌族，不是同一SKU,当前页面未给四个具体升温速率和各峰精确值，需全文曲线/表格进一步提取。,是,2026-09-06
7,CTG0008,B-厂家品牌/型号技术数据,Nomex® Type 455,Type 455 Nomex®,C0082–C0086（仅品牌族辅助）,DuPont,芳纶,纤维/品牌型号,Nomex® Type 455,,厂家技术指南基线,消防服/工业防护/耐热过滤,air / N2,,,,,,,,,,,,,,,,厂家技术指南：在空气或氮气中至约400°C失重<10%；约427°C以上出现快速失重。图2.5给出空气/N2 TGA曲线。,厂家技术指南正文+图2.5,厂家官方技术指南,Nomex® Fiber Technical Guide,,,https://www.dupont.com/content/dam/dupont/amer/us/en/personal-protection/public/documents/en/Nomex%28R%29%20Fiber%20Technical%20Guide.pdf,Nomex品牌型号级；不是Nomex Comfort具体面料SKU,“<10% up to ~400°C”不是精确T10，故未写入T10数值栏。,否,2026-09-06
8,CTG0009,B-厂家品牌/型号技术数据,Kevlar® 49,Kevlar® 49 - air,,DuPont,芳纶,纤维/纱线品牌型号,Kevlar® 49 para-aramid,,厂家技术指南基线,消防/防护/复合增强辅助参照,air,,10,,,,,,,,,,,,,,10°C/min；Kevlar®在空气中约427–482°C范围发生分解；厂家图2.5给出Kevlar® 49空气TGA曲线。,厂家技术指南正文+TGA图,厂家官方技术指南,Kevlar® Aramid Fiber Technical Guide,,,https://www.dupont.com/content/dam/dupont/amer/us/en/safety/public/documents/en/Kevlar_Technical_Guide_0319.pdf,Kevlar 49品牌型号级；材料形态为纤维/纱线，作为S1辅助参照,分解温度为厂家范围/约数，不等同T5/Tonset。,否,2026-09-06
9,CTG0010,B-厂家品牌/型号技术数据,Kevlar® 49,Kevlar® 49 - N2,,DuPont,芳纶,纤维/纱线品牌型号,Kevlar® 49 para-aramid,,厂家技术指南基线,消防/防护/复合增强辅助参照,N2,,10,,,,,,,,,,,,,,10°C/min；Kevlar®在氮气中约538°C发生分解；厂家图2.6给出Kevlar® 49氮气TGA曲线。,厂家技术指南正文+TGA图,厂家官方技术指南,Kevlar® Aramid Fiber Technical Guide,,,https://www.dupont.com/content/dam/dupont/amer/us/en/safety/public/documents/en/Kevlar_Technical_Guide_0319.pdf,Kevlar 49品牌型号级；材料形态为纤维/纱线，作为S1辅助参照,分解温度为厂家范围/约数，不等同T5/Tonset。,否,2026-09-06
