batch_id,material_category,material_form,composition,sample_state,treatment_state,treatment_chemistry,treatment_method,add_on_pct,atmosphere,heating_rate_C_min,T5_C,Tmax1_C,residue_at_Tmax1_pct,Tmax2_C,residue_at_Tmax2_pct,Tmax3_C,residue_at_Tmax3_pct,R700_pct,LOI_pct,LOI_min_pct,LOI_max_pct,LOI_state,direct_numeric_use,evidence,source_title,year,journal,DOI,source_url,source_location,limitations
B20260921-141,cotton,fabric,100% cotton,CO,untreated,,"aqueous HCl-solubilized hexa(allylamino)cyclotriphosphazene (CPZ), photoinduced UV grafting/crosslinking",0,N2,20,320,382,44.5,,,,,10.7,,16.5,17,untreated,TG+LOI-range,"Open-access full text. TGA values transcribed from Table 2 (N2, 20 K/min; treated samples around 10 wt% add-on). LOI intervals from Table 4. Treated LOI samples used a different 5–6 wt% add-on and are therefore not paired to the ~10 wt% TGA rows.",A Green Water-Soluble Cyclophosphazene as a Flame Retardant Finish for Textiles,2019,Molecules,10.3390/molecules24173100,https://pmc.ncbi.nlm.nih.gov/articles/PMC6749382/,Section 2.3.1 Table 2; Section 2.3.2 Table 4; Appendix Table A1,
B20260921-142,cotton,fabric,100% cotton,CPZ@CO,FR treated,CPZ cyclotriphosphazene,"aqueous HCl-solubilized hexa(allylamino)cyclotriphosphazene (CPZ), photoinduced UV grafting/crosslinking",10,N2,20,303,314,82.6,,,,,26.8,,,,,TG-only,"Open-access full text. TGA values transcribed from Table 2 (N2, 20 K/min; treated samples around 10 wt% add-on). LOI intervals from Table 4. Treated LOI samples used a different 5–6 wt% add-on and are therefore not paired to the ~10 wt% TGA rows.",A Green Water-Soluble Cyclophosphazene as a Flame Retardant Finish for Textiles,2019,Molecules,10.3390/molecules24173100,https://pmc.ncbi.nlm.nih.gov/articles/PMC6749382/,Section 2.3.1 Table 2; Section 2.3.2 Table 4; Appendix Table A1,TGA treated state ~10 wt% add-on; LOI in Table 4 is for a separate 5–6 wt% add-on state and is intentionally not paired.
B20260921-143,cotton/polyester blend,fabric,50/50 PET/cotton warp sateen; distinct cotton and PET sides,PET/CO 1,untreated,,"aqueous HCl-solubilized hexa(allylamino)cyclotriphosphazene (CPZ), photoinduced UV grafting/crosslinking",0,N2,20,333,367,71.1,445,32.2,,,13.3,,18.5,19,untreated,TG+LOI-range,"Open-access full text. TGA values transcribed from Table 2 (N2, 20 K/min; treated samples around 10 wt% add-on). LOI intervals from Table 4. Treated LOI samples used a different 5–6 wt% add-on and are therefore not paired to the ~10 wt% TGA rows.",A Green Water-Soluble Cyclophosphazene as a Flame Retardant Finish for Textiles,2019,Molecules,10.3390/molecules24173100,https://pmc.ncbi.nlm.nih.gov/articles/PMC6749382/,Section 2.3.1 Table 2; Section 2.3.2 Table 4; Appendix Table A1,
B20260921-144,cotton/polyester blend,fabric,50/50 PET/cotton warp sateen; distinct cotton and PET sides,CPZ@PET/CO 1,FR treated,CPZ cyclotriphosphazene,"aqueous HCl-solubilized hexa(allylamino)cyclotriphosphazene (CPZ), photoinduced UV grafting/crosslinking",10,N2,20,280,316,79.7,449,38.6,,,18.2,,,,,TG-only,"Open-access full text. TGA values transcribed from Table 2 (N2, 20 K/min; treated samples around 10 wt% add-on). LOI intervals from Table 4. Treated LOI samples used a different 5–6 wt% add-on and are therefore not paired to the ~10 wt% TGA rows.",A Green Water-Soluble Cyclophosphazene as a Flame Retardant Finish for Textiles,2019,Molecules,10.3390/molecules24173100,https://pmc.ncbi.nlm.nih.gov/articles/PMC6749382/,Section 2.3.1 Table 2; Section 2.3.2 Table 4; Appendix Table A1,TGA treated state ~10 wt% add-on (double coating used to reach ~10%); LOI used a separate 5–6 wt% add-on state.
B20260921-145,cotton/polyester blend,fabric,50/50 PET/cotton core-shell yarn fabric,PET/CO 2,untreated,,"aqueous HCl-solubilized hexa(allylamino)cyclotriphosphazene (CPZ), photoinduced UV grafting/crosslinking",0,N2,20,336,379,73.1,451,27.9,,,10,,16.5,17,untreated,TG+LOI-range,"Open-access full text. TGA values transcribed from Table 2 (N2, 20 K/min; treated samples around 10 wt% add-on). LOI intervals from Table 4. Treated LOI samples used a different 5–6 wt% add-on and are therefore not paired to the ~10 wt% TGA rows.",A Green Water-Soluble Cyclophosphazene as a Flame Retardant Finish for Textiles,2019,Molecules,10.3390/molecules24173100,https://pmc.ncbi.nlm.nih.gov/articles/PMC6749382/,Section 2.3.1 Table 2; Section 2.3.2 Table 4; Appendix Table A1,
B20260921-146,cotton/polyester blend,fabric,50/50 PET/cotton core-shell yarn fabric,CPZ@PET/CO 2,FR treated,CPZ cyclotriphosphazene,"aqueous HCl-solubilized hexa(allylamino)cyclotriphosphazene (CPZ), photoinduced UV grafting/crosslinking",10,N2,20,300,311,87.6,398,65.9,445,43.6,24,,,,,TG-only,"Open-access full text. TGA values transcribed from Table 2 (N2, 20 K/min; treated samples around 10 wt% add-on). LOI intervals from Table 4. Treated LOI samples used a different 5–6 wt% add-on and are therefore not paired to the ~10 wt% TGA rows.",A Green Water-Soluble Cyclophosphazene as a Flame Retardant Finish for Textiles,2019,Molecules,10.3390/molecules24173100,https://pmc.ncbi.nlm.nih.gov/articles/PMC6749382/,Section 2.3.1 Table 2; Section 2.3.2 Table 4; Appendix Table A1,TGA treated state ~10 wt% add-on; LOI used a separate 5–6 wt% add-on state.
B20260921-147,cotton/polyamide blend,fabric,50/50 cotton/PA6.6 (Nyco/COPA) core-shell yarn fabric,COPA,untreated,,"aqueous HCl-solubilized hexa(allylamino)cyclotriphosphazene (CPZ), photoinduced UV grafting/crosslinking",0,N2,20,351,395,65.6,456,28.7,,,9.1,,18,18.5,untreated,TG+LOI-range,"Open-access full text. TGA values transcribed from Table 2 (N2, 20 K/min; treated samples around 10 wt% add-on). LOI intervals from Table 4. Treated LOI samples used a different 5–6 wt% add-on and are therefore not paired to the ~10 wt% TGA rows.",A Green Water-Soluble Cyclophosphazene as a Flame Retardant Finish for Textiles,2019,Molecules,10.3390/molecules24173100,https://pmc.ncbi.nlm.nih.gov/articles/PMC6749382/,Section 2.3.1 Table 2; Section 2.3.2 Table 4; Appendix Table A1,
B20260921-148,cotton/polyamide blend,fabric,50/50 cotton/PA6.6 (Nyco/COPA) core-shell yarn fabric,CPZ@COPA,FR treated,CPZ cyclotriphosphazene,"aqueous HCl-solubilized hexa(allylamino)cyclotriphosphazene (CPZ), photoinduced UV grafting/crosslinking",9.2,N2,20,295,321,82.4,401,52,462,31.9,21.1,,,,,TG-only,"Open-access full text. TGA values transcribed from Table 2 (N2, 20 K/min; treated samples around 10 wt% add-on). LOI intervals from Table 4. Treated LOI samples used a different 5–6 wt% add-on and are therefore not paired to the ~10 wt% TGA rows.",A Green Water-Soluble Cyclophosphazene as a Flame Retardant Finish for Textiles,2019,Molecules,10.3390/molecules24173100,https://pmc.ncbi.nlm.nih.gov/articles/PMC6749382/,Section 2.3.1 Table 2; Section 2.3.2 Table 4; Appendix Table A1,TGA selected COPA sample had 9.2 wt% add-on; LOI used a separate 5–6 wt% add-on state.
B20260921-149,polyester,fabric,PET,PET,untreated,,"aqueous HCl-solubilized hexa(allylamino)cyclotriphosphazene (CPZ), photoinduced UV grafting/crosslinking",0,N2,20,413,449,56.6,,,,,13.3,,,,,TG-only,"Open-access full text. TGA values transcribed from Table 2 (N2, 20 K/min; treated samples around 10 wt% add-on). LOI intervals from Table 4. Treated LOI samples used a different 5–6 wt% add-on and are therefore not paired to the ~10 wt% TGA rows.",A Green Water-Soluble Cyclophosphazene as a Flame Retardant Finish for Textiles,2019,Molecules,10.3390/molecules24173100,https://pmc.ncbi.nlm.nih.gov/articles/PMC6749382/,Section 2.3.1 Table 2; Section 2.3.2 Table 4; Appendix Table A1,Pure PET was not carried forward to LOI testing because CPZ did not show sufficient flame-retarding effect.
B20260921-150,polyester,fabric,PET,CPZ@PET,FR treated,CPZ cyclotriphosphazene,"aqueous HCl-solubilized hexa(allylamino)cyclotriphosphazene (CPZ), photoinduced UV grafting/crosslinking",10,N2,20,365,385,86.5,447,40.8,,,14.9,,,,,TG-only,"Open-access full text. TGA values transcribed from Table 2 (N2, 20 K/min; treated samples around 10 wt% add-on). LOI intervals from Table 4. Treated LOI samples used a different 5–6 wt% add-on and are therefore not paired to the ~10 wt% TGA rows.",A Green Water-Soluble Cyclophosphazene as a Flame Retardant Finish for Textiles,2019,Molecules,10.3390/molecules24173100,https://pmc.ncbi.nlm.nih.gov/articles/PMC6749382/,Section 2.3.1 Table 2; Section 2.3.2 Table 4; Appendix Table A1,TGA treated state ~10 wt% add-on; pure PET series was not included in LOI Table 4.
