<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: verified_web_batch_20260921.csv>index,batch_id,material,sample,treatment,atmosphere,heating_rate_C_min,T10_C,T50_C,residue_temp_C,residue_pct,LOI_pct,LOI_uncertainty_pct,direct_numeric,evidence,title,year,journal,DOI,source_url,limitations
0,B20260921-001,polyester fabric,PF-HUSC,alginate + Si/P/N composite coating,,,,,700.0,35.1,35.3,0.3,yes,PubMed/ScienceDirect abstract explicit numeric values,"Bio-based alginate and Si-, P- and N-containing compounds cooperate toward flame-retardant modification of polyester fabrics",2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2023.129121,https://pubmed.ncbi.nlm.nih.gov/38159694/,TG atmosphere/heating rate not stated in abstract; confirm from full text before condition-controlled pooling
1,B20260921-002,wool fabric,Control,untreated,N2,,,370.0,,,23.8,,yes,ScienceDirect abstract explicit before/after values,A facile surface phosphorylation grafting strategy to fabricate durable flame-retardant wool fabric,2024,European Polymer Journal,10.1016/j.eurpolymj.2024.112804,https://www.sciencedirect.com/science/article/abs/pii/S001430572400065X,Heating rate not stated in abstract
2,B20260921-003,wool fabric,DMP-grafted wool,dimethyl phosphate surface phosphorylation grafting,N2,,,397.0,,,30.5,,yes,ScienceDirect abstract explicit before/after values,A facile surface phosphorylation grafting strategy to fabricate durable flame-retardant wool fabric,2024,European Polymer Journal,10.1016/j.eurpolymj.2024.112804,https://www.sciencedirect.com/science/article/abs/pii/S001430572400065X,Heating rate not stated in abstract
3,B20260921-004,wool fabric,Control,untreated,air,,,408.0,,0.6,23.8,,yes,ScienceDirect abstract explicit before/after values,A facile surface phosphorylation grafting strategy to fabricate durable flame-retardant wool fabric,2024,European Polymer Journal,10.1016/j.eurpolymj.2024.112804,https://www.sciencedirect.com/science/article/abs/pii/S001430572400065X,Char-residue temperature and heating rate not stated in abstract
4,B20260921-005,wool fabric,DMP-grafted wool,dimethyl phosphate surface phosphorylation grafting,air,,,439.0,,21.8,30.5,,yes,ScienceDirect abstract explicit before/after values,A facile surface phosphorylation grafting strategy to fabricate durable flame-retardant wool fabric,2024,European Polymer Journal,10.1016/j.eurpolymj.2024.112804,https://www.sciencedirect.com/science/article/abs/pii/S001430572400065X,Char-residue temperature and heating rate not stated in abstract
5,B20260921-006,wool fabric,Control,untreated,N2,,,341.0,,,,,yes,ScienceDirect abstract explicit T50 comparison,Efficient and durable flame-retardant wool fabrics achieved by a facile phytic acid grafting approach,2026,Polymer,10.1016/j.polymer.2025.129336,https://www.sciencedirect.com/science/article/pii/S0032386125013229,Control LOI and heating rate not stated in abstract
6,B20260921-007,wool fabric,PA-Wool,phytic acid grafting,N2,,,397.0,700.0,34.9,34.2,,yes,ScienceDirect abstract explicit values,Efficient and durable flame-retardant wool fabrics achieved by a facile phytic acid grafting approach,2026,Polymer,10.1016/j.polymer.2025.129336,https://www.sciencedirect.com/science/article/pii/S0032386125013229,Heating rate not stated in abstract
7,B20260921-008,wool fabric,Control,untreated,air,,,407.0,,,,,yes,ScienceDirect abstract explicit T50 comparison,Efficient and durable flame-retardant wool fabrics achieved by a facile phytic acid grafting approach,2026,Polymer,10.1016/j.polymer.2025.129336,https://www.sciencedirect.com/science/article/pii/S0032386125013229,Control LOI and heating rate not stated in abstract
8,B20260921-009,wool fabric,PA-Wool,phytic acid grafting,air,,,492.0,700.0,30.0,34.2,,yes,ScienceDirect abstract explicit values,Efficient and durable flame-retardant wool fabrics achieved by a facile phytic acid grafting approach,2026,Polymer,10.1016/j.polymer.2025.129336,https://www.sciencedirect.com/science/article/pii/S0032386125013229,Heating rate not stated in abstract
9,B20260921-010,wool fabric,Control,untreated,N2,,233.0,354.0,700.0,24.2,,,yes,Open full text Table 2; abstract for W100 LOI and R600,Flame Retardancy and Thermal Behavior of Wool Fabric Treated with a Phosphorus-Containing Polycarboxylic Acid,2021,Polymers,10.3390/polym13234111,https://www.mdpi.com/2073-4360/13/23/4111,Heating rate not captured yet; R600=25.9
10,B20260921-011,wool fabric,W20,"PBTCA-treated wool, 20 g/L",N2,,253.0,376.0,700.0,33.8,,,yes,Open full text Table 2; abstract for W100 LOI and R600,Flame Retardancy and Thermal Behavior of Wool Fabric Treated with a Phosphorus-Containing Polycarboxylic Acid,2021,Polymers,10.3390/polym13234111,https://www.mdpi.com/2073-4360/13/23/4111,Heating rate not captured yet; R600=not abstract-reported for this state
11,B20260921-012,wool fabric,W60,"PBTCA-treated wool, 60 g/L",N2,,256.0,394.0,700.0,36.3,,,yes,Open full text Table 2; abstract for W100 LOI and R600,Flame Retardancy and Thermal Behavior of Wool Fabric Treated with a Phosphorus-Containing Polycarboxylic Acid,2021,Polymers,10.3390/polym13234111,https://www.mdpi.com/2073-4360/13/23/4111,Heating rate not captured yet; R600=not abstract-reported for this state
12,B20260921-013,wool fabric,W100,"PBTCA-treated wool, 100 g/L",N2,,256.0,408.0,700.0,37.7,44.0,,yes,Open full text Table 2; abstract for W100 LOI and R600,Flame Retardancy and Thermal Behavior of Wool Fabric Treated with a Phosphorus-Containing Polycarboxylic Acid,2021,Polymers,10.3390/polym13234111,https://www.mdpi.com/2073-4360/13/23/4111,Heating rate not captured yet; R600=39.7
13,B20260921-014,wool fabric,Control,untreated,air,,241.0,415.0,700.0,0.36,,,yes,Open full text Table 2; abstract for W100 LOI and R600,Flame Retardancy and Thermal Behavior of Wool Fabric Treated with a Phosphorus-Containing Polycarboxylic Acid,2021,Polymers,10.3390/polym13234111,https://www.mdpi.com/2073-4360/13/23/4111,Heating rate not captured yet; R600=13.2
14,B20260921-015,wool fabric,W20,"PBTCA-treated wool, 20 g/L",air,,256.0,450.0,700.0,14.3,,,yes,Open full text Table 2; abstract for W100 LOI and R600,Flame Retardancy and Thermal Behavior of Wool Fabric Treated with a Phosphorus-Containing Polycarboxylic Acid,2021,Polymers,10.3390/polym13234111,https://www.mdpi.com/2073-4360/13/23/4111,Heating rate not captured yet; R600=not abstract-reported for this state
15,B20260921-016,wool fabric,W60,"PBTCA-treated wool, 60 g/L",air,,259.0,463.0,700.0,22.6,,,yes,Open full text Table 2; abstract for W100 LOI and R600,Flame Retardancy and Thermal Behavior of Wool Fabric Treated with a Phosphorus-Containing Polycarboxylic Acid,2021,Polymers,10.3390/polym13234111,https://www.mdpi.com/2073-4360/13/23/4111,Heating rate not captured yet; R600=not abstract-reported for this state
16,B20260921-017,wool fabric,W100,"PBTCA-treated wool, 100 g/L",air,,259.0,469.0,700.0,25.1,44.0,,yes,Open full text Table 2; abstract for W100 LOI and R600,Flame Retardancy and Thermal Behavior of Wool Fabric Treated with a Phosphorus-Containing Polycarboxylic Acid,2021,Polymers,10.3390/polym13234111,https://www.mdpi.com/2073-4360/13/23/4111,Heating rate not captured yet; R600=28.7
