batch_id,material_category,material_form,composition,application,area_density_g_m2,sample_state,treatment_state,treatment_chemistry,treatment_method,bilayers,add_on_pct,atmosphere,heating_rate_C_min,T10_C,Tmax1_C,max_mass_loss_rate1,Tmax2_C,max_mass_loss_rate2,R600_pct,LOI_pct,LOI_uncertainty_pct,LOI_state,direct_numeric_use,evidence,source_title,year,journal,DOI,source_url,source_location,limitations
B20260921-169,polyester,knitted fabric,100% PET,automotive interior / decorative textile,110,PET,untreated,branched polyethylenimine (BPEI) / ammonium polyphosphate (APP) layer-by-layer coating,"alternating BPEI (0.5 wt%, pH 10) and APP (0.5 wt%, pH 4) dip/rinse/dry cycles; no alkali pretreatment for this primary series",0,,N2,10,402,436,2.04,,,5.09,21.1,0.08,as prepared,TG+LOI,Open-access full article. Table 1 gives add-on and LOI for the primary PET/PET-1/PET-5/PET-10/PET-20 LBL series; Tables 3–4 give TGA for the same named untreated/LBL-treated series in N2 and air. TGA: room temperature to 650 °C at 10 °C/min.,Layer-by-layer assembly flame-retardant and anti-dripping treatment of polyethylene terephthalate fabrics,2019,Journal of Engineered Fibers and Fabrics,10.1177/1558925019870301,https://journals.sagepub.com/doi/full/10.1177/1558925019870301,"Experimental §§ Materials/LBL/Characterization; Tables 1, 3, 4",The paper separately studies an alkali-pretreated LBL series in Table 2 using the same PET-1/PET-5/... labels. The TGA section refers to the primary untreated/LBL-assembled series and does not report a separate alkali-pretreated TGA dataset; rows here are therefore mapped to the non-alkali primary series and retain its Table 1 add-ons.
B20260921-170,polyester,knitted fabric,100% PET,automotive interior / decorative textile,110,PET-1,FR treated,branched polyethylenimine (BPEI) / ammonium polyphosphate (APP) layer-by-layer coating,"alternating BPEI (0.5 wt%, pH 10) and APP (0.5 wt%, pH 4) dip/rinse/dry cycles; no alkali pretreatment for this primary series",1,0.34,N2,10,400,437,2.02,,,6.69,22.2,0.11,as prepared,TG+LOI,Open-access full article. Table 1 gives add-on and LOI for the primary PET/PET-1/PET-5/PET-10/PET-20 LBL series; Tables 3–4 give TGA for the same named untreated/LBL-treated series in N2 and air. TGA: room temperature to 650 °C at 10 °C/min.,Layer-by-layer assembly flame-retardant and anti-dripping treatment of polyethylene terephthalate fabrics,2019,Journal of Engineered Fibers and Fabrics,10.1177/1558925019870301,https://journals.sagepub.com/doi/full/10.1177/1558925019870301,"Experimental §§ Materials/LBL/Characterization; Tables 1, 3, 4",The paper separately studies an alkali-pretreated LBL series in Table 2 using the same PET-1/PET-5/... labels. The TGA section refers to the primary untreated/LBL-assembled series and does not report a separate alkali-pretreated TGA dataset; rows here are therefore mapped to the non-alkali primary series and retain its Table 1 add-ons.
B20260921-171,polyester,knitted fabric,100% PET,automotive interior / decorative textile,110,PET-5,FR treated,branched polyethylenimine (BPEI) / ammonium polyphosphate (APP) layer-by-layer coating,"alternating BPEI (0.5 wt%, pH 10) and APP (0.5 wt%, pH 4) dip/rinse/dry cycles; no alkali pretreatment for this primary series",5,1.17,N2,10,398,438,1.96,,,7.1,24,0.13,as prepared,TG+LOI,Open-access full article. Table 1 gives add-on and LOI for the primary PET/PET-1/PET-5/PET-10/PET-20 LBL series; Tables 3–4 give TGA for the same named untreated/LBL-treated series in N2 and air. TGA: room temperature to 650 °C at 10 °C/min.,Layer-by-layer assembly flame-retardant and anti-dripping treatment of polyethylene terephthalate fabrics,2019,Journal of Engineered Fibers and Fabrics,10.1177/1558925019870301,https://journals.sagepub.com/doi/full/10.1177/1558925019870301,"Experimental §§ Materials/LBL/Characterization; Tables 1, 3, 4",The paper separately studies an alkali-pretreated LBL series in Table 2 using the same PET-1/PET-5/... labels. The TGA section refers to the primary untreated/LBL-assembled series and does not report a separate alkali-pretreated TGA dataset; rows here are therefore mapped to the non-alkali primary series and retain its Table 1 add-ons.
B20260921-172,polyester,knitted fabric,100% PET,automotive interior / decorative textile,110,PET-10,FR treated,branched polyethylenimine (BPEI) / ammonium polyphosphate (APP) layer-by-layer coating,"alternating BPEI (0.5 wt%, pH 10) and APP (0.5 wt%, pH 4) dip/rinse/dry cycles; no alkali pretreatment for this primary series",10,2.89,N2,10,397,443,1.92,,,7.56,25.2,0.08,as prepared,TG+LOI,Open-access full article. Table 1 gives add-on and LOI for the primary PET/PET-1/PET-5/PET-10/PET-20 LBL series; Tables 3–4 give TGA for the same named untreated/LBL-treated series in N2 and air. TGA: room temperature to 650 °C at 10 °C/min.,Layer-by-layer assembly flame-retardant and anti-dripping treatment of polyethylene terephthalate fabrics,2019,Journal of Engineered Fibers and Fabrics,10.1177/1558925019870301,https://journals.sagepub.com/doi/full/10.1177/1558925019870301,"Experimental §§ Materials/LBL/Characterization; Tables 1, 3, 4",The paper separately studies an alkali-pretreated LBL series in Table 2 using the same PET-1/PET-5/... labels. The TGA section refers to the primary untreated/LBL-assembled series and does not report a separate alkali-pretreated TGA dataset; rows here are therefore mapped to the non-alkali primary series and retain its Table 1 add-ons.
B20260921-173,polyester,knitted fabric,100% PET,automotive interior / decorative textile,110,PET-20,FR treated,branched polyethylenimine (BPEI) / ammonium polyphosphate (APP) layer-by-layer coating,"alternating BPEI (0.5 wt%, pH 10) and APP (0.5 wt%, pH 4) dip/rinse/dry cycles; no alkali pretreatment for this primary series",20,5.53,N2,10,393,445,1.88,,,9.35,26,0.17,as prepared,TG+LOI,Open-access full article. Table 1 gives add-on and LOI for the primary PET/PET-1/PET-5/PET-10/PET-20 LBL series; Tables 3–4 give TGA for the same named untreated/LBL-treated series in N2 and air. TGA: room temperature to 650 °C at 10 °C/min.,Layer-by-layer assembly flame-retardant and anti-dripping treatment of polyethylene terephthalate fabrics,2019,Journal of Engineered Fibers and Fabrics,10.1177/1558925019870301,https://journals.sagepub.com/doi/full/10.1177/1558925019870301,"Experimental §§ Materials/LBL/Characterization; Tables 1, 3, 4",The paper separately studies an alkali-pretreated LBL series in Table 2 using the same PET-1/PET-5/... labels. The TGA section refers to the primary untreated/LBL-assembled series and does not report a separate alkali-pretreated TGA dataset; rows here are therefore mapped to the non-alkali primary series and retain its Table 1 add-ons.
B20260921-174,polyester,knitted fabric,100% PET,automotive interior / decorative textile,110,PET,untreated,branched polyethylenimine (BPEI) / ammonium polyphosphate (APP) layer-by-layer coating,"alternating BPEI (0.5 wt%, pH 10) and APP (0.5 wt%, pH 4) dip/rinse/dry cycles; no alkali pretreatment for this primary series",0,,air,10,401,430,1.92,564,0.16,0.42,21.1,0.08,as prepared,TG+LOI,Open-access full article. Table 1 gives add-on and LOI for the primary PET/PET-1/PET-5/PET-10/PET-20 LBL series; Tables 3–4 give TGA for the same named untreated/LBL-treated series in N2 and air. TGA: room temperature to 650 °C at 10 °C/min.,Layer-by-layer assembly flame-retardant and anti-dripping treatment of polyethylene terephthalate fabrics,2019,Journal of Engineered Fibers and Fabrics,10.1177/1558925019870301,https://journals.sagepub.com/doi/full/10.1177/1558925019870301,"Experimental §§ Materials/LBL/Characterization; Tables 1, 3, 4",The paper separately studies an alkali-pretreated LBL series in Table 2 using the same PET-1/PET-5/... labels. The TGA section refers to the primary untreated/LBL-assembled series and does not report a separate alkali-pretreated TGA dataset; rows here are therefore mapped to the non-alkali primary series and retain its Table 1 add-ons.
B20260921-175,polyester,knitted fabric,100% PET,automotive interior / decorative textile,110,PET-1,FR treated,branched polyethylenimine (BPEI) / ammonium polyphosphate (APP) layer-by-layer coating,"alternating BPEI (0.5 wt%, pH 10) and APP (0.5 wt%, pH 4) dip/rinse/dry cycles; no alkali pretreatment for this primary series",1,0.34,air,10,401,431,1.86,566,0.16,0.56,22.2,0.11,as prepared,TG+LOI,Open-access full article. Table 1 gives add-on and LOI for the primary PET/PET-1/PET-5/PET-10/PET-20 LBL series; Tables 3–4 give TGA for the same named untreated/LBL-treated series in N2 and air. TGA: room temperature to 650 °C at 10 °C/min.,Layer-by-layer assembly flame-retardant and anti-dripping treatment of polyethylene terephthalate fabrics,2019,Journal of Engineered Fibers and Fabrics,10.1177/1558925019870301,https://journals.sagepub.com/doi/full/10.1177/1558925019870301,"Experimental §§ Materials/LBL/Characterization; Tables 1, 3, 4",The paper separately studies an alkali-pretreated LBL series in Table 2 using the same PET-1/PET-5/... labels. The TGA section refers to the primary untreated/LBL-assembled series and does not report a separate alkali-pretreated TGA dataset; rows here are therefore mapped to the non-alkali primary series and retain its Table 1 add-ons.
B20260921-176,polyester,knitted fabric,100% PET,automotive interior / decorative textile,110,PET-5,FR treated,branched polyethylenimine (BPEI) / ammonium polyphosphate (APP) layer-by-layer coating,"alternating BPEI (0.5 wt%, pH 10) and APP (0.5 wt%, pH 4) dip/rinse/dry cycles; no alkali pretreatment for this primary series",5,1.17,air,10,400,432,1.84,568,0.15,2.2,24,0.13,as prepared,TG+LOI,Open-access full article. Table 1 gives add-on and LOI for the primary PET/PET-1/PET-5/PET-10/PET-20 LBL series; Tables 3–4 give TGA for the same named untreated/LBL-treated series in N2 and air. TGA: room temperature to 650 °C at 10 °C/min.,Layer-by-layer assembly flame-retardant and anti-dripping treatment of polyethylene terephthalate fabrics,2019,Journal of Engineered Fibers and Fabrics,10.1177/1558925019870301,https://journals.sagepub.com/doi/full/10.1177/1558925019870301,"Experimental §§ Materials/LBL/Characterization; Tables 1, 3, 4",The paper separately studies an alkali-pretreated LBL series in Table 2 using the same PET-1/PET-5/... labels. The TGA section refers to the primary untreated/LBL-assembled series and does not report a separate alkali-pretreated TGA dataset; rows here are therefore mapped to the non-alkali primary series and retain its Table 1 add-ons.
B20260921-177,polyester,knitted fabric,100% PET,automotive interior / decorative textile,110,PET-10,FR treated,branched polyethylenimine (BPEI) / ammonium polyphosphate (APP) layer-by-layer coating,"alternating BPEI (0.5 wt%, pH 10) and APP (0.5 wt%, pH 4) dip/rinse/dry cycles; no alkali pretreatment for this primary series",10,2.89,air,10,399,432,1.77,571,0.14,3.75,25.2,0.08,as prepared,TG+LOI,Open-access full article. Table 1 gives add-on and LOI for the primary PET/PET-1/PET-5/PET-10/PET-20 LBL series; Tables 3–4 give TGA for the same named untreated/LBL-treated series in N2 and air. TGA: room temperature to 650 °C at 10 °C/min.,Layer-by-layer assembly flame-retardant and anti-dripping treatment of polyethylene terephthalate fabrics,2019,Journal of Engineered Fibers and Fabrics,10.1177/1558925019870301,https://journals.sagepub.com/doi/full/10.1177/1558925019870301,"Experimental §§ Materials/LBL/Characterization; Tables 1, 3, 4",The paper separately studies an alkali-pretreated LBL series in Table 2 using the same PET-1/PET-5/... labels. The TGA section refers to the primary untreated/LBL-assembled series and does not report a separate alkali-pretreated TGA dataset; rows here are therefore mapped to the non-alkali primary series and retain its Table 1 add-ons.
B20260921-178,polyester,knitted fabric,100% PET,automotive interior / decorative textile,110,PET-20,FR treated,branched polyethylenimine (BPEI) / ammonium polyphosphate (APP) layer-by-layer coating,"alternating BPEI (0.5 wt%, pH 10) and APP (0.5 wt%, pH 4) dip/rinse/dry cycles; no alkali pretreatment for this primary series",20,5.53,air,10,396,432,1.73,571,0.13,4.46,26,0.17,as prepared,TG+LOI,Open-access full article. Table 1 gives add-on and LOI for the primary PET/PET-1/PET-5/PET-10/PET-20 LBL series; Tables 3–4 give TGA for the same named untreated/LBL-treated series in N2 and air. TGA: room temperature to 650 °C at 10 °C/min.,Layer-by-layer assembly flame-retardant and anti-dripping treatment of polyethylene terephthalate fabrics,2019,Journal of Engineered Fibers and Fabrics,10.1177/1558925019870301,https://journals.sagepub.com/doi/full/10.1177/1558925019870301,"Experimental §§ Materials/LBL/Characterization; Tables 1, 3, 4",The paper separately studies an alkali-pretreated LBL series in Table 2 using the same PET-1/PET-5/... labels. The TGA section refers to the primary untreated/LBL-assembled series and does not report a separate alkali-pretreated TGA dataset; rows here are therefore mapped to the non-alkali primary series and retain its Table 1 add-ons.
