batch_id,material_category,material_form,composition,sample_state,treatment_state,treatment_chemistry,treatment_method,washing_state,atmosphere,heating_rate_C_min,Tonset_C,Tmax1_C,stage2_start_C,R700_pct,LOI_pct,LOI_state,direct_numeric_use,evidence,source_title,year,journal,DOI,source_url,source_location,limitations
B20260921-188,cotton,fabric,cotton textile,O-C,untreated,,,untreated,air,5,234,320,340,2.19,18,untreated,TG+LOI,"Open full text Table 3 and Methods. TG measured from 20 to 700 °C in air at 5, 10, 15 and 20 °C/min. Table 1 plus text gives untreated O-C LOI 18 and explicitly states as-prepared Ag-NP-loaded PPA-C LOI 27. PP-C LOI values are reported by washing cycle and are not paired to the unwashed TGA state.",In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022,Materials,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,Methods §2.4; Table 1; Figure 7; Table 3,Table 3 labels Ti as initial decomposition temperature and CR as final carbon residue for the 20–700 °C run. PP-C TGA rows are retained as TG-only because its numeric LOI values are tied to washing-cycle states rather than the analyzed TGA state.
B20260921-189,cotton,fabric,cotton textile,O-C,untreated,,,untreated,air,10,258,329,350,4.26,18,untreated,TG+LOI,"Open full text Table 3 and Methods. TG measured from 20 to 700 °C in air at 5, 10, 15 and 20 °C/min. Table 1 plus text gives untreated O-C LOI 18 and explicitly states as-prepared Ag-NP-loaded PPA-C LOI 27. PP-C LOI values are reported by washing cycle and are not paired to the unwashed TGA state.",In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022,Materials,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,Methods §2.4; Table 1; Figure 7; Table 3,Table 3 labels Ti as initial decomposition temperature and CR as final carbon residue for the 20–700 °C run. PP-C TGA rows are retained as TG-only because its numeric LOI values are tied to washing-cycle states rather than the analyzed TGA state.
B20260921-190,cotton,fabric,cotton textile,O-C,untreated,,,untreated,air,15,258,334,350,3.37,18,untreated,TG+LOI,"Open full text Table 3 and Methods. TG measured from 20 to 700 °C in air at 5, 10, 15 and 20 °C/min. Table 1 plus text gives untreated O-C LOI 18 and explicitly states as-prepared Ag-NP-loaded PPA-C LOI 27. PP-C LOI values are reported by washing cycle and are not paired to the unwashed TGA state.",In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022,Materials,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,Methods §2.4; Table 1; Figure 7; Table 3,Table 3 labels Ti as initial decomposition temperature and CR as final carbon residue for the 20–700 °C run. PP-C TGA rows are retained as TG-only because its numeric LOI values are tied to washing-cycle states rather than the analyzed TGA state.
B20260921-191,cotton,fabric,cotton textile,O-C,untreated,,,untreated,air,20,258,340,350,3.01,18,untreated,TG+LOI,"Open full text Table 3 and Methods. TG measured from 20 to 700 °C in air at 5, 10, 15 and 20 °C/min. Table 1 plus text gives untreated O-C LOI 18 and explicitly states as-prepared Ag-NP-loaded PPA-C LOI 27. PP-C LOI values are reported by washing cycle and are not paired to the unwashed TGA state.",In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022,Materials,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,Methods §2.4; Table 1; Figure 7; Table 3,Table 3 labels Ti as initial decomposition temperature and CR as final carbon residue for the 20–700 °C run. PP-C TGA rows are retained as TG-only because its numeric LOI values are tied to washing-cycle states rather than the analyzed TGA state.
B20260921-192,cotton,fabric,cotton textile,PP-C,FR treated,PEI/phytic-acid flame-retardant finish,PEI/PA flame-retardant finishing,as-prepared TGA; LOI wash-state mismatch,air,5,190,258,270,14.22,,,TG-only,"Open full text Table 3 and Methods. TG measured from 20 to 700 °C in air at 5, 10, 15 and 20 °C/min. Table 1 plus text gives untreated O-C LOI 18 and explicitly states as-prepared Ag-NP-loaded PPA-C LOI 27. PP-C LOI values are reported by washing cycle and are not paired to the unwashed TGA state.",In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022,Materials,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,Methods §2.4; Table 1; Figure 7; Table 3,Table 3 labels Ti as initial decomposition temperature and CR as final carbon residue for the 20–700 °C run. PP-C TGA rows are retained as TG-only because its numeric LOI values are tied to washing-cycle states rather than the analyzed TGA state.
B20260921-193,cotton,fabric,cotton textile,PP-C,FR treated,PEI/phytic-acid flame-retardant finish,PEI/PA flame-retardant finishing,as-prepared TGA; LOI wash-state mismatch,air,10,190,265,274,21.36,,,TG-only,"Open full text Table 3 and Methods. TG measured from 20 to 700 °C in air at 5, 10, 15 and 20 °C/min. Table 1 plus text gives untreated O-C LOI 18 and explicitly states as-prepared Ag-NP-loaded PPA-C LOI 27. PP-C LOI values are reported by washing cycle and are not paired to the unwashed TGA state.",In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022,Materials,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,Methods §2.4; Table 1; Figure 7; Table 3,Table 3 labels Ti as initial decomposition temperature and CR as final carbon residue for the 20–700 °C run. PP-C TGA rows are retained as TG-only because its numeric LOI values are tied to washing-cycle states rather than the analyzed TGA state.
B20260921-194,cotton,fabric,cotton textile,PP-C,FR treated,PEI/phytic-acid flame-retardant finish,PEI/PA flame-retardant finishing,as-prepared TGA; LOI wash-state mismatch,air,15,190,269,278,23.94,,,TG-only,"Open full text Table 3 and Methods. TG measured from 20 to 700 °C in air at 5, 10, 15 and 20 °C/min. Table 1 plus text gives untreated O-C LOI 18 and explicitly states as-prepared Ag-NP-loaded PPA-C LOI 27. PP-C LOI values are reported by washing cycle and are not paired to the unwashed TGA state.",In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022,Materials,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,Methods §2.4; Table 1; Figure 7; Table 3,Table 3 labels Ti as initial decomposition temperature and CR as final carbon residue for the 20–700 °C run. PP-C TGA rows are retained as TG-only because its numeric LOI values are tied to washing-cycle states rather than the analyzed TGA state.
B20260921-195,cotton,fabric,cotton textile,PP-C,FR treated,PEI/phytic-acid flame-retardant finish,PEI/PA flame-retardant finishing,as-prepared TGA; LOI wash-state mismatch,air,20,190,273,280,26.84,,,TG-only,"Open full text Table 3 and Methods. TG measured from 20 to 700 °C in air at 5, 10, 15 and 20 °C/min. Table 1 plus text gives untreated O-C LOI 18 and explicitly states as-prepared Ag-NP-loaded PPA-C LOI 27. PP-C LOI values are reported by washing cycle and are not paired to the unwashed TGA state.",In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022,Materials,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,Methods §2.4; Table 1; Figure 7; Table 3,Table 3 labels Ti as initial decomposition temperature and CR as final carbon residue for the 20–700 °C run. PP-C TGA rows are retained as TG-only because its numeric LOI values are tied to washing-cycle states rather than the analyzed TGA state.
B20260921-196,cotton,fabric,cotton textile,PPA-C,FR + antibacterial treated,PEI/phytic-acid finish + in-situ Ag nanoparticles,"PP-C immersed in 0.1 mol/L AgNO3 1 h, then 20 g/L sodium citrate at 90 °C for 1 h; wash and dry",as prepared,air,5,220,286,299,13.42,27,as prepared,TG+LOI,"Open full text Table 3 and Methods. TG measured from 20 to 700 °C in air at 5, 10, 15 and 20 °C/min. Table 1 plus text gives untreated O-C LOI 18 and explicitly states as-prepared Ag-NP-loaded PPA-C LOI 27. PP-C LOI values are reported by washing cycle and are not paired to the unwashed TGA state.",In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022,Materials,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,Methods §2.4; Table 1; Figure 7; Table 3,Table 3 labels Ti as initial decomposition temperature and CR as final carbon residue for the 20–700 °C run. PP-C TGA rows are retained as TG-only because its numeric LOI values are tied to washing-cycle states rather than the analyzed TGA state.
B20260921-197,cotton,fabric,cotton textile,PPA-C,FR + antibacterial treated,PEI/phytic-acid finish + in-situ Ag nanoparticles,"PP-C immersed in 0.1 mol/L AgNO3 1 h, then 20 g/L sodium citrate at 90 °C for 1 h; wash and dry",as prepared,air,10,220,291,306,18.66,27,as prepared,TG+LOI,"Open full text Table 3 and Methods. TG measured from 20 to 700 °C in air at 5, 10, 15 and 20 °C/min. Table 1 plus text gives untreated O-C LOI 18 and explicitly states as-prepared Ag-NP-loaded PPA-C LOI 27. PP-C LOI values are reported by washing cycle and are not paired to the unwashed TGA state.",In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022,Materials,10.3390/ma15072537,https://pmc.ncbi.nlm.nih.gov/articles/PMC9000066/,Methods §2.4; Table 1; Figure 7; Table 3,Table 3 labels Ti as initial decomposition temperature and CR as final carbon residue for the 20–700 °C run. PP-C TGA rows are retained as TG-only because its numeric LOI values are tied to washing-cycle states rather than the analyzed TGA state.
