batch_id,material_category,material_form,composition,sample_state,treatment_state,treatment_chemistry,treatment_method,atmosphere,gas_flow_mL_min,heating_rate_C_min,T5_C,T10_C,T50_C,Tonset_C,Tmax1_C,Tmax2_C,residue_at_Tmax_pct,R500_pct,R600_pct,R800_pct,LOI_pct,LOI_state,direct_numeric_use,evidence,source_title,year,journal,DOI,source_url,source_location,limitations
B20260921-018,polyester,woven fabric,PET,REF,untreated,,,N2,,10,,404,432,,,,,10.61,9.19,,21,0 washing cycles,yes,"Open full text numerical TGA Table 4 + LOI Table 5; TGA method explicitly N2, 30–800 °C, 10 °C/min",Effect of Zinc Borate on Flammability of PET Woven Fabrics,2019,Advances in Polymer Technology,10.1155/2019/7150736,https://onlinelibrary.wiley.com/doi/10.1155/2019/7150736,"Methods §2.3; Tables 1, 4, 5",LOI paired only at 0 washing cycles because TGA is for the as-tested sample state.
B20260921-019,polyester,woven fabric,PET,Z50,FR treated,zinc borate dispersion 50 g/L,pad-dry-cure; pickup 92.35%; pH 5.5; dry 120 °C 2 min; cure 160 °C 3 min,N2,,10,,396,424,,,,,17.34,15.68,,21.9,0 washing cycles,yes,"Open full text numerical TGA Table 4 + LOI Table 5; TGA method explicitly N2, 30–800 °C, 10 °C/min",Effect of Zinc Borate on Flammability of PET Woven Fabrics,2019,Advances in Polymer Technology,10.1155/2019/7150736,https://onlinelibrary.wiley.com/doi/10.1155/2019/7150736,"Methods §2.3; Tables 1, 4, 5",LOI paired only at 0 washing cycles because TGA is for the as-tested sample state.
B20260921-020,polyester,woven fabric,PET,Z100,FR treated,zinc borate dispersion 100 g/L,pad-dry-cure; pickup 91.25%; pH 5.5; dry 120 °C 2 min; cure 160 °C 3 min,N2,,10,,398,427,,,,,18.74,17.09,,22.9,0 washing cycles,yes,"Open full text numerical TGA Table 4 + LOI Table 5; TGA method explicitly N2, 30–800 °C, 10 °C/min",Effect of Zinc Borate on Flammability of PET Woven Fabrics,2019,Advances in Polymer Technology,10.1155/2019/7150736,https://onlinelibrary.wiley.com/doi/10.1155/2019/7150736,"Methods §2.3; Tables 1, 4, 5",LOI paired only at 0 washing cycles because TGA is for the as-tested sample state.
B20260921-021,polyester,woven fabric,PET,Z200,FR treated,zinc borate dispersion 200 g/L,pad-dry-cure; pickup 90.75%; pH 5.5; dry 120 °C 2 min; cure 160 °C 3 min,N2,,10,,400,429,,,,,19.74,17.95,,23.1,0 washing cycles,yes,"Open full text numerical TGA Table 4 + LOI Table 5; TGA method explicitly N2, 30–800 °C, 10 °C/min",Effect of Zinc Borate on Flammability of PET Woven Fabrics,2019,Advances in Polymer Technology,10.1155/2019/7150736,https://onlinelibrary.wiley.com/doi/10.1155/2019/7150736,"Methods §2.3; Tables 1, 4, 5",LOI paired only at 0 washing cycles because TGA is for the as-tested sample state.
B20260921-022,polyester,woven fabric,PET,PSY,FR treated,alkyl phosphonate commercial FR (PSY) 80 g/L,pad-dry-cure; pickup 87.74%; pH 5.0; dry 120 °C 1.5 min; cure 190 °C 1.5 min,N2,,10,,391,430,,,,,16.45,14.86,,31.3,0 washing cycles,yes,"Open full text numerical TGA Table 4 + LOI Table 5; TGA method explicitly N2, 30–800 °C, 10 °C/min",Effect of Zinc Borate on Flammability of PET Woven Fabrics,2019,Advances in Polymer Technology,10.1155/2019/7150736,https://onlinelibrary.wiley.com/doi/10.1155/2019/7150736,"Methods §2.3; Tables 1, 4, 5",LOI paired only at 0 washing cycles because TGA is for the as-tested sample state.
B20260921-023,polyester,woven fabric,PET,PSY-Z20,FR treated,PSY 60 g/L + zinc borate dispersion 20 g/L,pad-dry-cure; pickup 97.20%; pH 5.0; dry 120 °C 1.5 min; cure 190 °C 1.5 min,N2,,10,,394,428,,,,,14.02,12.17,,24.4,0 washing cycles,yes,"Open full text numerical TGA Table 4 + LOI Table 5; TGA method explicitly N2, 30–800 °C, 10 °C/min",Effect of Zinc Borate on Flammability of PET Woven Fabrics,2019,Advances in Polymer Technology,10.1155/2019/7150736,https://onlinelibrary.wiley.com/doi/10.1155/2019/7150736,"Methods §2.3; Tables 1, 4, 5",LOI paired only at 0 washing cycles because TGA is for the as-tested sample state.
B20260921-024,polyester,woven fabric,PET,PEK,FR treated,organophosphorus commercial FR (PEK) 100 g/L,pad-dry-cure; pickup 90.87%; pH 6.0; dry 120 °C 1.5 min; cure 190 °C 1.5 min,N2,,10,,397,431,,,,,14.28,12.67,,33.8,0 washing cycles,yes,"Open full text numerical TGA Table 4 + LOI Table 5; TGA method explicitly N2, 30–800 °C, 10 °C/min",Effect of Zinc Borate on Flammability of PET Woven Fabrics,2019,Advances in Polymer Technology,10.1155/2019/7150736,https://onlinelibrary.wiley.com/doi/10.1155/2019/7150736,"Methods §2.3; Tables 1, 4, 5",LOI paired only at 0 washing cycles because TGA is for the as-tested sample state.
B20260921-025,polyester,woven fabric,PET,PEK-Z25,FR treated,PEK 75 g/L + zinc borate dispersion 25 g/L,pad-dry-cure; pickup 90.60%; pH 6.0; dry 120 °C 1.5 min; cure 190 °C 1.5 min,N2,,10,,398,430,,,,,13.64,11.94,,33.5,0 washing cycles,yes,"Open full text numerical TGA Table 4 + LOI Table 5; TGA method explicitly N2, 30–800 °C, 10 °C/min",Effect of Zinc Borate on Flammability of PET Woven Fabrics,2019,Advances in Polymer Technology,10.1155/2019/7150736,https://onlinelibrary.wiley.com/doi/10.1155/2019/7150736,"Methods §2.3; Tables 1, 4, 5",LOI paired only at 0 washing cycles because TGA is for the as-tested sample state.
B20260921-026,polyester,woven fabric,PET,PEK-Z50,FR treated,PEK 50 g/L + zinc borate dispersion 50 g/L,pad-dry-cure; pickup 89.30%; pH 6.0; dry 120 °C 1.5 min; cure 190 °C 1.5 min,N2,,10,,401,432,,,,,12.23,10.29,,31,0 washing cycles,yes,"Open full text numerical TGA Table 4 + LOI Table 5; TGA method explicitly N2, 30–800 °C, 10 °C/min",Effect of Zinc Borate on Flammability of PET Woven Fabrics,2019,Advances in Polymer Technology,10.1155/2019/7150736,https://onlinelibrary.wiley.com/doi/10.1155/2019/7150736,"Methods §2.3; Tables 1, 4, 5",LOI paired only at 0 washing cycles because TGA is for the as-tested sample state.
B20260921-027,cotton,single jersey knitted fabric,100% cotton,UCtn,untreated,,,N2,,5,328,,,,378.5,444.6,34.7,,10.8,,17.4,0 washing cycles,yes,"Open-access article; TGA method explicit (N2, 5 °C/min) and numerical TGA Table 3 paired with 0-wash LOI Table 4",Evaluation of flame retardant knitted fabrics treated with nitrogen containing natural substances using Taguchi method,2026,Discover Applied Sciences,10.1007/s42452-025-08163-y,https://link.springer.com/article/10.1007/s42452-025-08163-y,Methods §3.3; Tables 3 and 4,
