batch_id,material_category,material_form,composition,sample_state,treatment_state,treatment_chemistry,treatment_method,atmosphere,gas_flow_mL_min,heating_rate_C_min,T5_C,T10_C,T50_C,Tonset_C,Tmax1_C,Tmax2_C,Tmax3_C,residue_at_Tmax_pct,R500_pct,R600_pct,R800_pct,LOI_pct,LOI_uncertainty_pct,LOI_state,direct_numeric_use,evidence,source_title,year,journal,DOI,source_url,source_location,limitations
B20260921-042,polyamide 66,fabric,PA66,PA66-Control,untreated,,,air,,20,368,,,,467,,,,,,4.6,19.5,,before washing,yes,Open full text; TGA Table 5 in both air and N2 + LOI Table 3; TGA method explicitly 20 °C/min,"Flame Retardant Coatings from Bio-Derived Chitosan, Sodium Alginate, and Metal Salts for Polyamide 66 Textiles",2022,ACS Omega,10.1021/acsomega.2c02466,https://pubs.acs.org/doi/10.1021/acsomega.2c02466,"Characterization; Tables 1, 3, 5","Only unambiguous T5, first Tmax and R800 are transcribed here; later DTG-peak columns are intentionally not mapped because HTML table column spans are ambiguous."
B20260921-043,polyamide 66,fabric,PA66,PA66-Control,untreated,,,N2,,20,411,,,,456,,,,,,6.7,19.5,,before washing,yes,Open full text; TGA Table 5 in both air and N2 + LOI Table 3; TGA method explicitly 20 °C/min,"Flame Retardant Coatings from Bio-Derived Chitosan, Sodium Alginate, and Metal Salts for Polyamide 66 Textiles",2022,ACS Omega,10.1021/acsomega.2c02466,https://pubs.acs.org/doi/10.1021/acsomega.2c02466,"Characterization; Tables 1, 3, 5","Only unambiguous T5, first Tmax and R800 are transcribed here; later DTG-peak columns are intentionally not mapped because HTML table column spans are ambiguous."
B20260921-044,polyamide 66,fabric,PA66,PA66-10BL,FR coated,10 bilayers chitosan/sodium alginate,layer-by-layer deposition; salt impregnation where applicable,air,,20,352,,,,461,,,,,,4.9,20,,before washing,yes,Open full text; TGA Table 5 in both air and N2 + LOI Table 3; TGA method explicitly 20 °C/min,"Flame Retardant Coatings from Bio-Derived Chitosan, Sodium Alginate, and Metal Salts for Polyamide 66 Textiles",2022,ACS Omega,10.1021/acsomega.2c02466,https://pubs.acs.org/doi/10.1021/acsomega.2c02466,"Characterization; Tables 1, 3, 5","Only unambiguous T5, first Tmax and R800 are transcribed here; later DTG-peak columns are intentionally not mapped because HTML table column spans are ambiguous."
B20260921-045,polyamide 66,fabric,PA66,PA66-10BL,FR coated,10 bilayers chitosan/sodium alginate,layer-by-layer deposition; salt impregnation where applicable,N2,,20,395,,,,450,,,,,,7.5,20,,before washing,yes,Open full text; TGA Table 5 in both air and N2 + LOI Table 3; TGA method explicitly 20 °C/min,"Flame Retardant Coatings from Bio-Derived Chitosan, Sodium Alginate, and Metal Salts for Polyamide 66 Textiles",2022,ACS Omega,10.1021/acsomega.2c02466,https://pubs.acs.org/doi/10.1021/acsomega.2c02466,"Characterization; Tables 1, 3, 5","Only unambiguous T5, first Tmax and R800 are transcribed here; later DTG-peak columns are intentionally not mapped because HTML table column spans are ambiguous."
B20260921-046,polyamide 66,fabric,PA66,PA66-10BL-NaB,FR coated,10BL chitosan/sodium alginate + borate salt 50 g/L,layer-by-layer deposition; salt impregnation where applicable,air,,20,349,,,,450,,,,,,5.2,20.5,,before washing,yes,Open full text; TGA Table 5 in both air and N2 + LOI Table 3; TGA method explicitly 20 °C/min,"Flame Retardant Coatings from Bio-Derived Chitosan, Sodium Alginate, and Metal Salts for Polyamide 66 Textiles",2022,ACS Omega,10.1021/acsomega.2c02466,https://pubs.acs.org/doi/10.1021/acsomega.2c02466,"Characterization; Tables 1, 3, 5","Only unambiguous T5, first Tmax and R800 are transcribed here; later DTG-peak columns are intentionally not mapped because HTML table column spans are ambiguous."
B20260921-047,polyamide 66,fabric,PA66,PA66-10BL-NaB,FR coated,10BL chitosan/sodium alginate + borate salt 50 g/L,layer-by-layer deposition; salt impregnation where applicable,N2,,20,367,,,,398,,,,,,8,20.5,,before washing,yes,Open full text; TGA Table 5 in both air and N2 + LOI Table 3; TGA method explicitly 20 °C/min,"Flame Retardant Coatings from Bio-Derived Chitosan, Sodium Alginate, and Metal Salts for Polyamide 66 Textiles",2022,ACS Omega,10.1021/acsomega.2c02466,https://pubs.acs.org/doi/10.1021/acsomega.2c02466,"Characterization; Tables 1, 3, 5","Only unambiguous T5, first Tmax and R800 are transcribed here; later DTG-peak columns are intentionally not mapped because HTML table column spans are ambiguous."
B20260921-048,polyamide 66,fabric,PA66,PA66-10BL-Ni2+,FR coated,10BL chitosan/sodium alginate + Ni2+ salt 50 g/L,layer-by-layer deposition; salt impregnation where applicable,air,,20,332,,,,460,,,,,,4.5,20,,before washing,yes,Open full text; TGA Table 5 in both air and N2 + LOI Table 3; TGA method explicitly 20 °C/min,"Flame Retardant Coatings from Bio-Derived Chitosan, Sodium Alginate, and Metal Salts for Polyamide 66 Textiles",2022,ACS Omega,10.1021/acsomega.2c02466,https://pubs.acs.org/doi/10.1021/acsomega.2c02466,"Characterization; Tables 1, 3, 5","Only unambiguous T5, first Tmax and R800 are transcribed here; later DTG-peak columns are intentionally not mapped because HTML table column spans are ambiguous."
B20260921-049,polyamide 66,fabric,PA66,PA66-10BL-Ni2+,FR coated,10BL chitosan/sodium alginate + Ni2+ salt 50 g/L,layer-by-layer deposition; salt impregnation where applicable,N2,,20,400,,,,455,,,,,,8.6,20,,before washing,yes,Open full text; TGA Table 5 in both air and N2 + LOI Table 3; TGA method explicitly 20 °C/min,"Flame Retardant Coatings from Bio-Derived Chitosan, Sodium Alginate, and Metal Salts for Polyamide 66 Textiles",2022,ACS Omega,10.1021/acsomega.2c02466,https://pubs.acs.org/doi/10.1021/acsomega.2c02466,"Characterization; Tables 1, 3, 5","Only unambiguous T5, first Tmax and R800 are transcribed here; later DTG-peak columns are intentionally not mapped because HTML table column spans are ambiguous."
B20260921-050,polyamide 66,fabric,PA66,PA66-10BL-Fe3+,FR coated,10BL chitosan/sodium alginate + Fe3+ salt 50 g/L,layer-by-layer deposition; salt impregnation where applicable,air,,20,296,,,,417,,,,,,6.3,25.5,,before washing,yes,Open full text; TGA Table 5 in both air and N2 + LOI Table 3; TGA method explicitly 20 °C/min,"Flame Retardant Coatings from Bio-Derived Chitosan, Sodium Alginate, and Metal Salts for Polyamide 66 Textiles",2022,ACS Omega,10.1021/acsomega.2c02466,https://pubs.acs.org/doi/10.1021/acsomega.2c02466,"Characterization; Tables 1, 3, 5","Only unambiguous T5, first Tmax and R800 are transcribed here; later DTG-peak columns are intentionally not mapped because HTML table column spans are ambiguous."
B20260921-051,polyamide 66,fabric,PA66,PA66-10BL-Fe3+,FR coated,10BL chitosan/sodium alginate + Fe3+ salt 50 g/L,layer-by-layer deposition; salt impregnation where applicable,N2,,20,337,,,,367,,,,,,8.2,25.5,,before washing,yes,Open full text; TGA Table 5 in both air and N2 + LOI Table 3; TGA method explicitly 20 °C/min,"Flame Retardant Coatings from Bio-Derived Chitosan, Sodium Alginate, and Metal Salts for Polyamide 66 Textiles",2022,ACS Omega,10.1021/acsomega.2c02466,https://pubs.acs.org/doi/10.1021/acsomega.2c02466,"Characterization; Tables 1, 3, 5","Only unambiguous T5, first Tmax and R800 are transcribed here; later DTG-peak columns are intentionally not mapped because HTML table column spans are ambiguous."
