batch_id,material_category,material_form,composition,sample_state,treatment_state,treatment_chemistry,treatment_method,atmosphere,gas_flow_mL_min,heating_rate_C_min,T1_C,T5_C,T10_C,T20_C,T50_C,Tonset_C,Tmax1_C,Tmax2_C,Tmax3_C,residue_at_Tmax_pct,R500_pct,R600_pct,R700_pct,R800_pct,LOI_pct,LOI_uncertainty_pct,LOI_state,direct_numeric_use,evidence,source_title,year,journal,DOI,source_url,source_location,limitations
B20260921-056,polyester,textile fabric,polyester textile with polyurethane coating,PU/T,PU coated control,polyurethane coating without CPA-Al,CPA-Al mixed into PU coating and applied to polyester textile,N2,,20,286,375,,,,,,,,,,9.2,,,20,0.3,as prepared,yes,"Open full text numerical TGA Table 5 + LOI Table 3; TGA method 50–700 °C, N2, 20 °C/min; LOI repeated three times (±0.3%)",Synthesis and Characterization of Aluminum 2-Carboxyethyl-Phenyl-Phosphinate and Its Flame-Retardant Application in Polyester,2019,Polymers,10.3390/polym11121969,https://www.mdpi.com/2073-4360/11/12/1969,Methods; Tables 3 and 5,"Td,1% retained separately as T1_C; not re-labelled as Tonset."
B20260921-057,polyester,textile fabric,polyester textile with polyurethane coating,7.1%CPA-Al/PU/T,FR PU coated,CPA-Al in polyurethane; 7.1 wt% in textile sample,CPA-Al mixed into PU coating and applied to polyester textile,N2,,20,315,388,,,,,,,,,,17.2,,,23.6,0.3,as prepared,yes,"Open full text numerical TGA Table 5 + LOI Table 3; TGA method 50–700 °C, N2, 20 °C/min; LOI repeated three times (±0.3%)",Synthesis and Characterization of Aluminum 2-Carboxyethyl-Phenyl-Phosphinate and Its Flame-Retardant Application in Polyester,2019,Polymers,10.3390/polym11121969,https://www.mdpi.com/2073-4360/11/12/1969,Methods; Tables 3 and 5,"Td,1% retained separately as T1_C; not re-labelled as Tonset."
B20260921-058,polyester,textile fabric,polyester textile with polyurethane coating,10.3%CPA-Al/PU/T,FR PU coated,CPA-Al in polyurethane; 10.3 wt% in textile sample,CPA-Al mixed into PU coating and applied to polyester textile,N2,,20,321,388,,,,,,,,,,17.5,,,23.8,0.3,as prepared,yes,"Open full text numerical TGA Table 5 + LOI Table 3; TGA method 50–700 °C, N2, 20 °C/min; LOI repeated three times (±0.3%)",Synthesis and Characterization of Aluminum 2-Carboxyethyl-Phenyl-Phosphinate and Its Flame-Retardant Application in Polyester,2019,Polymers,10.3390/polym11121969,https://www.mdpi.com/2073-4360/11/12/1969,Methods; Tables 3 and 5,"Td,1% retained separately as T1_C; not re-labelled as Tonset."
B20260921-059,polyester,textile fabric,polyester textile with polyurethane coating,14.7%CPA-Al/PU/T,FR PU coated,CPA-Al in polyurethane; 14.7 wt% in textile sample,CPA-Al mixed into PU coating and applied to polyester textile,N2,,20,317,384,,,,,,,,,,19,,,24.5,0.3,as prepared,yes,"Open full text numerical TGA Table 5 + LOI Table 3; TGA method 50–700 °C, N2, 20 °C/min; LOI repeated three times (±0.3%)",Synthesis and Characterization of Aluminum 2-Carboxyethyl-Phenyl-Phosphinate and Its Flame-Retardant Application in Polyester,2019,Polymers,10.3390/polym11121969,https://www.mdpi.com/2073-4360/11/12/1969,Methods; Tables 3 and 5,"Td,1% retained separately as T1_C; not re-labelled as Tonset."
B20260921-060,silk,fabric,silk fabric,Silk,untreated,,,N2,100,10,,,277.04,,367.71,,,,,,,33.95,,,24,0.31,as prepared,yes,"Open full text numerical TGA Table 4 + LOI Table 2; TGA 30–700 °C in N2 (100 mL/min), 10 °C/min",Synergistic Effects and Mechanism of Modified Silica Sol Flame Retardant Systems on Silk Fabric,2018,Materials,10.3390/ma11101842,https://www.mdpi.com/1996-1944/11/10/1842,Methods; Tables 2 and 4,Only sample states explicitly present in TGA Table 4 are transcribed.
B20260921-061,silk,fabric,silk fabric,Silk-Si,FR treated,pure silica sol,sol-gel finishing,N2,100,10,,,248.91,,412.94,,,,,,,41.08,,,26.1,0.26,as prepared,yes,"Open full text numerical TGA Table 4 + LOI Table 2; TGA 30–700 °C in N2 (100 mL/min), 10 °C/min",Synergistic Effects and Mechanism of Modified Silica Sol Flame Retardant Systems on Silk Fabric,2018,Materials,10.3390/ma11101842,https://www.mdpi.com/1996-1944/11/10/1842,Methods; Tables 2 and 4,Only sample states explicitly present in TGA Table 4 are transcribed.
B20260921-062,silk,fabric,silk fabric,Silk-B,FR treated,boric acid,flame-retardant finishing,N2,100,10,,,114.33,,462.06,,,,,,,43.55,,,28,0.15,as prepared,yes,"Open full text numerical TGA Table 4 + LOI Table 2; TGA 30–700 °C in N2 (100 mL/min), 10 °C/min",Synergistic Effects and Mechanism of Modified Silica Sol Flame Retardant Systems on Silk Fabric,2018,Materials,10.3390/ma11101842,https://www.mdpi.com/1996-1944/11/10/1842,Methods; Tables 2 and 4,Only sample states explicitly present in TGA Table 4 are transcribed.
B20260921-063,silk,fabric,silk fabric,Silk-N2,FR treated,cyanoguanidine (N2),flame-retardant finishing,N2,100,10,,,257.07,,373.98,,,,,,,32.14,,,25.3,0.22,as prepared,yes,"Open full text numerical TGA Table 4 + LOI Table 2; TGA 30–700 °C in N2 (100 mL/min), 10 °C/min",Synergistic Effects and Mechanism of Modified Silica Sol Flame Retardant Systems on Silk Fabric,2018,Materials,10.3390/ma11101842,https://www.mdpi.com/1996-1944/11/10/1842,Methods; Tables 2 and 4,Only sample states explicitly present in TGA Table 4 are transcribed.
B20260921-064,silk,fabric,silk fabric,Silk-P2,FR treated,DOPO (P2),flame-retardant finishing,N2,100,10,,,215.84,,377.1,,,,,,,35.18,,,31,0.2,as prepared,yes,"Open full text numerical TGA Table 4 + LOI Table 2; TGA 30–700 °C in N2 (100 mL/min), 10 °C/min",Synergistic Effects and Mechanism of Modified Silica Sol Flame Retardant Systems on Silk Fabric,2018,Materials,10.3390/ma11101842,https://www.mdpi.com/1996-1944/11/10/1842,Methods; Tables 2 and 4,Only sample states explicitly present in TGA Table 4 are transcribed.
B20260921-065,silk,fabric,silk fabric,Si-B,FR treated,boric-acid-modified silica sol,sol-gel finishing; Si/B molar ratio 1:0.24,N2,100,10,,,272.47,,459.54,,,,,,,44.02,,,31.2,0.18,as prepared,yes,"Open full text numerical TGA Table 4 + LOI Table 2; TGA 30–700 °C in N2 (100 mL/min), 10 °C/min",Synergistic Effects and Mechanism of Modified Silica Sol Flame Retardant Systems on Silk Fabric,2018,Materials,10.3390/ma11101842,https://www.mdpi.com/1996-1944/11/10/1842,Methods; Tables 2 and 4,Only sample states explicitly present in TGA Table 4 are transcribed.
