batch_id,dataset_type,material_category,material_form,composition,commercial_fabric_id,sample_state,treatment_state,treatment_chemistry,treatment_method,area_density_g_m2,add_on_pct_initial,atmosphere,gas_flow_mL_min,heating_rate_C_min,T5_C,Tonset_C,Tmax1_C,Tmax2_C,R400_pct,R550_pct,LOI_pct,LOI_state,direct_numeric_use,evidence,source_title,year,journal,DOI,source_url,source_location,limitations
B20260921-097,commercial,viscose/flax blend,woven twill,80% viscose / 20% linen,1,Commercial fabric 1 untreated,untreated,,,413,0,air,,10,60,,330,450,20,0.5,18.9,untreated,yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-098,commercial,viscose/flax blend,woven twill,80% viscose / 20% linen,1,Commercial fabric 1 FR/MLSE before water soak,FR + plasma/UV treated,proprietary phosphorus- and nitrogen-containing FR formulation,"pad/dry then MLSE plasma/UV on both sides; 2 kW plasma, 95% N2/5% CO2, 650 mJ excimer laser, 20 m/min",413,13.8,air,,10,147,,334,500,39,15,28.4,FR/Plasma/UV before 40 °C water soak,yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-099,commercial,viscose/flax blend,woven twill,80% viscose / 20% linen,1,Commercial fabric 1 FR/MLSE after water soak,FR + plasma/UV treated + water soaked,proprietary phosphorus- and nitrogen-containing FR formulation,"same FR/MLSE treatment followed by 40 °C, 30 min water soak",413,13.8,air,,10,67,,320,496,33,8,22.8,"FR/Plasma/UV after 40 °C, 30 min water soak",yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-100,commercial,viscose/flax blend,woven twill,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),2,Commercial fabric 2 untreated,untreated,,,417,0,air,,10,57,,330,453,19,0.6,19.3,untreated,yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-101,commercial,viscose/flax blend,woven twill,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),2,Commercial fabric 2 FR/MLSE before water soak,FR + plasma/UV treated,proprietary phosphorus- and nitrogen-containing FR formulation,"pad/dry then MLSE plasma/UV on both sides; 2 kW plasma, 95% N2/5% CO2, 650 mJ excimer laser, 20 m/min",417,12.7,air,,10,91,,333,500,37,13,29.8,FR/Plasma/UV before 40 °C water soak,yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-102,commercial,viscose/flax blend,woven twill,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),2,Commercial fabric 2 FR/MLSE after water soak,FR + plasma/UV treated + water soaked,proprietary phosphorus- and nitrogen-containing FR formulation,"same FR/MLSE treatment followed by 40 °C, 30 min water soak",417,12.7,air,,10,79,,317,494,31,7,24.7,"FR/Plasma/UV after 40 °C, 30 min water soak",yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-103,commercial,viscose/flax blend,woven twill,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),3,Commercial fabric 3 untreated,untreated,,,406,0,air,,10,64,,335,454,20,1,19,untreated,yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-104,commercial,viscose/flax blend,woven twill,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),3,Commercial fabric 3 FR/MLSE before water soak,FR + plasma/UV treated,proprietary phosphorus- and nitrogen-containing FR formulation,"pad/dry then MLSE plasma/UV on both sides; 2 kW plasma, 95% N2/5% CO2, 650 mJ excimer laser, 20 m/min",406,12.1,air,,10,89,,333,500,38,14,29.7,FR/Plasma/UV before 40 °C water soak,yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-105,commercial,viscose/flax blend,woven twill,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),3,Commercial fabric 3 FR/MLSE after water soak,FR + plasma/UV treated + water soaked,proprietary phosphorus- and nitrogen-containing FR formulation,"same FR/MLSE treatment followed by 40 °C, 30 min water soak",406,12.1,air,,10,78,,326,500,31,6,22.5,"FR/Plasma/UV after 40 °C, 30 min water soak",yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
B20260921-106,commercial,viscose/flax blend,woven twill,viscose/flax cellulosic blend (viscose-majority; exact ratio unspecified),4,Commercial fabric 4 untreated,untreated,,,421,0,air,,10,62,,336,454,20,1,18.8,untreated,yes,"Peer-reviewed study; values transcribed from open author preprint matching Fibers 2018 article. TGA 50–700 °C in air at 10 °C/min; LOI ASTM D2863. Tables 1–3 provide commercial fabric construction/add-on, LOI, and TGA values.",Environmentally Sustainable Flame Retardant Surface Treatments for Textiles: The Potential of a Novel Atmospheric Plasma/UV Laser Technology,2018,Fibers,10.3390/fib6020031,https://www.preprints.org/manuscript/201804.0094/v1/download,"Methods §2.1, §2.4; Tables 1–3","Except fabric 1 (80/20 viscose/linen), exact viscose/flax blend ratios were not disclosed. Source labels the 5% mass-loss temperature as Tonset; stored as T5_C for cross-study semantic consistency. Initial FR add-on is retained for post-soak rows although actual retained add-on after soaking was not quantified."
