<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: literature_loi.csv>index,endpoint_id,sample_id,study_id,测试名,标准及版本,LOI数值,原文表达,单位,不确定度,重复数,原文位置,数值来源,与TG配对状态,审计说明,来源链接,是否有数值LOI
0,LOI0001,L001-S001,L001,LOI,,18.4,18.4,%,,,LOI results,原文数值,与TG为同材料状态,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7408352/,是
1,LOI0002,L001-S002,L001,LOI,,24.2,24.2,%,,,LOI results,原文数值,与TG为同材料状态,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7408352/,是
2,LOI0003,L001-S003,L001,LOI,,27.1,27.1,%,,,LOI results,原文数值,与TG为同材料状态,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7408352/,是
3,LOI0004,L003-S001,L003,LOI,ASTM D2863-09,20.9,20.9,%,,,LOI table,原文表格,与TG为同材料状态,,https://www.mdpi.com/2079-6439/6/4/85,是
4,LOI0005,L003-S002,L003,LOI,ASTM D2863-09,21.5,21.5,%,,,LOI table,原文表格,与TG为同材料状态,,https://www.mdpi.com/2079-6439/6/4/85,是
5,LOI0006,L003-S003,L003,LOI,ASTM D2863-09,21.5,21.5,%,,,LOI table,原文表格,与TG为同材料状态,,https://www.mdpi.com/2079-6439/6/4/85,是
6,LOI0007,L003-S004,L003,LOI,ASTM D2863-09,22.0,22.0,%,,,LOI table,原文表格,与TG为同材料状态,,https://www.mdpi.com/2079-6439/6/4/85,是
7,LOI0008,L003-S005,L003,LOI,ASTM D2863-09,21.0,21.0,%,,,LOI table,原文表格,与TG为同材料状态,,https://www.mdpi.com/2079-6439/6/4/85,是
8,LOI0009,L003-S006,L003,LOI,ASTM D2863-09,29.0,29.0,%,,,LOI table,原文表格,与TG为同材料状态,,https://www.mdpi.com/2079-6439/6/4/85,是
9,LOI0010,L003-S007,L003,LOI,ASTM D2863-09,31.0,31.0,%,,,LOI table,原文表格,与TG为同材料状态,,https://www.mdpi.com/2079-6439/6/4/85,是
10,LOI0011,L003-S008,L003,LOI,ASTM D2863-09,30.0,30.0,%,,,LOI table,原文表格,与TG为同材料状态,,https://www.mdpi.com/2079-6439/6/4/85,是
11,LOI0012,L003-S009,L003,LOI,ASTM D2863-09,30.5,30.5,%,,,LOI table,原文表格,与TG为同材料状态,,https://www.mdpi.com/2079-6439/6/4/85,是
12,LOI0013,L004-S002,L004,LOI,,32.0,32.0,%,,,LOI durability table,原文表格,该洗涤状态无TG数值,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,是
13,LOI0014,L004-S003,L004,LOI,,33.6,33.6,%,,,LOI durability table,原文表格,该洗涤状态无TG数值,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,是
14,LOI0015,L004-S004,L004,LOI,,36.1,36.1,%,,,LOI durability table,原文表格,该洗涤状态无TG数值,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,是
15,LOI0016,L004-S005,L004,LOI,,33.7,33.7,%,,,LOI durability table,原文表格,该洗涤状态无TG数值,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,是
16,LOI0017,L004-S006,L004,LOI,,31.8,31.8,%,,,LOI durability table,原文表格,该洗涤状态无TG数值,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,是
17,LOI0018,L004-S007,L004,LOI,,32.3,32.3,%,,,LOI durability table,原文表格,该洗涤状态无TG数值,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,是
18,LOI0019,L004-S008,L004,LOI,,32.9,32.9,%,,,LOI durability table,原文表格,该洗涤状态无TG数值,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,是
19,LOI0020,L004-S009,L004,LOI,,32.5,32.5,%,,,LOI durability table,原文表格,该洗涤状态无TG数值,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,是
20,LOI0021,L004-S010,L004,LOI,,31.0,31.0,%,,,LOI durability table,原文表格,该洗涤状态无TG数值,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,是
21,LOI0022,L004-S011,L004,LOI,,31.7,31.7,%,,,LOI durability table,原文表格,该洗涤状态无TG数值,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,是
22,LOI0023,L004-S012,L004,LOI,,32.6,32.6,%,,,LOI durability table,原文表格,该洗涤状态无TG数值,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,是
23,LOI0024,L004-S013,L004,LOI,,32.2,32.2,%,,,LOI durability table,原文表格,该洗涤状态无TG数值,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,是
24,LOI0025,L004-S014,L004,LOI,,27.8,27.8,%,,,LOI durability table,原文表格,同状态TG,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,是
25,LOI0026,L004-S015,L004,LOI,,28.9,28.9,%,,,LOI durability table,原文表格,同状态TG,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,是
26,LOI0027,L004-S016,L004,LOI,,30.3,30.3,%,,,LOI durability table,原文表格,同状态TG,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,是
27,LOI0028,L004-S017,L004,LOI,,30.1,30.1,%,,,LOI durability table,原文表格,同状态TG,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,是
28,LOI0029,L005-S001,L005,LOI,,17.2,17.2,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym14224994,是
29,LOI0030,L005-S002,L005,LOI,,19.8,19.8,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym14224994,是
30,LOI0031,L005-S003,L005,LOI,,22.8,22.8,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym14224994,是
31,LOI0032,L005-S004,L005,LOI,,27.0,27.0,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym14224994,是
32,LOI0033,L006-S001,L006,LOI,,17.0,17,%,,,Table 3,原文表格,与TG为同材料状态,未处理棉LOI表值17；正文另有19表述，使用表值并保留冲突,https://doi.org/10.3390/polym17070945,是
33,LOI0034,L006-S002,L006,LOI,,23.0,23,%,,,Table 3,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym17070945,是
34,LOI0035,L006-S003,L006,LOI,,26.0,26,%,,,Table 3,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym17070945,是
35,LOI0036,L006-S004,L006,LOI,,29.0,29,%,,,Table 3,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym17070945,是
36,LOI0037,L006-S005,L006,LOI,,26.0,26,%,,,Table 3,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym17070945,是
37,LOI0038,L007-S001,L007,LOI,,32.0,32,%,,,Table 7,原文表格,与TG为同材料状态,,https://doi.org/10.3390/ma15155373,是
38,LOI0039,L007-S002,L007,LOI,,32.0,32,%,,,Table 7,原文表格,与TG为同材料状态,,https://doi.org/10.3390/ma15155373,是
39,LOI0040,L007-S003,L007,LOI,,32.0,32,%,,,Table 7,原文表格,与TG为同材料状态,,https://doi.org/10.3390/ma15155373,是
40,LOI0041,L007-S004,L007,LOI,,32.0,32,%,,,Table 7,原文表格,与TG为同材料状态,,https://doi.org/10.3390/ma15155373,是
41,LOI0042,L007-S005,L007,LOI,,32.0,32,%,,,Table 7,原文表格,与TG为同材料状态,,https://doi.org/10.3390/ma15155373,是
42,LOI0043,L008-S001,L008,LOI,,18.0,18.0,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/ijms24021093,是
43,LOI0044,L008-S002,L008,LOI,,29.7,29.7,%,,,LOI table,原文表格,该状态无TG,,https://doi.org/10.3390/ijms24021093,是
44,LOI0045,L008-S003,L008,LOI,,29.5,29.5,%,,,LOI table,原文表格,该状态无TG,,https://doi.org/10.3390/ijms24021093,是
45,LOI0046,L008-S004,L008,LOI,,32.6,32.6,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/ijms24021093,是
46,LOI0047,L008-S005,L008,LOI,,31.5,31.5,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/ijms24021093,是
47,LOI0048,L008-S006,L008,LOI,,20.5,20.5,%,,,LOI table,原文表格,该状态无TG,,https://doi.org/10.3390/ijms24021093,是
48,LOI0049,L008-S007,L008,LOI,,29.3,29.3,%,,,LOI table,原文表格,该状态无TG,,https://doi.org/10.3390/ijms24021093,是
49,LOI0050,L009-S001,L009,LOI,,18.0,18,%,,,LOI table,原文表格,与TG为同材料状态,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730485/,是
50,LOI0051,L009-S002,L009,LOI,,26.0,26,%,,,LOI table,原文表格,与TG为同材料状态,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730485/,是
51,LOI0052,L009-S003,L009,LOI,,28.0,28,%,,,LOI table,原文表格,与TG为同材料状态,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730485/,是
52,LOI0053,L009-S004,L009,LOI,,29.0,29,%,,,LOI table,原文表格,与TG为同材料状态,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730485/,是
53,LOI0054,L009-S005,L009,LOI,,31.0,31,%,,,LOI table,原文表格,与TG为同材料状态,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730485/,是
54,LOI0055,L010-S001,L010,LOI,,18.0,18.0,%,,,LOI results,原文表格/正文,与TG为同材料状态,,https://doi.org/10.3390/fib9110069,是
55,LOI0056,L010-S002,L010,LOI,,21.5,21.5,%,,,LOI results,原文表格/正文,与TG为同材料状态,,https://doi.org/10.3390/fib9110069,是
56,LOI0057,L010-S004,L010,LOI,,24.5,24.5,%,,,LOI results,原文表格/正文,与TG为同材料状态,,https://doi.org/10.3390/fib9110069,是
57,LOI0058,L010-S005,L010,LOI,,23.5,23.5,%,,,LOI results,原文表格/正文,与TG为同材料状态,,https://doi.org/10.3390/fib9110069,是
58,LOI0059,L010-S007,L010,LOI,,26.0,26.0,%,,,LOI results,原文表格/正文,与TG为同材料状态,,https://doi.org/10.3390/fib9110069,是
59,LOI0060,L013-S001,L013,LOI,,31.4,31.4,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym17111529,是
60,LOI0061,L013-S002,L013,LOI,,20.9,20.9,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym17111529,是
61,LOI0062,L013-S003,L013,LOI,,26.5,26.5,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym17111529,是
62,LOI0063,L013-S004,L013,LOI,,26.9,26.9,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym17111529,是
63,LOI0064,L013-S005,L013,LOI,,27.4,27.4,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym17111529,是
64,LOI0065,L013-S006,L013,LOI,,27.8,27.8,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym17111529,是
65,LOI0066,L014-S001,L014,LOI,,31.3,31.3,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.1016/j.heliyon.2023.e13127,是
66,LOI0067,L014-S002,L014,LOI,,22.5,22.5,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.1016/j.heliyon.2023.e13127,是
67,LOI0068,L014-S003,L014,LOI,,22.4,22.4,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.1016/j.heliyon.2023.e13127,是
68,LOI0069,L014-S004,L014,LOI,,17.4,17.4,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.1016/j.heliyon.2023.e13127,是
69,LOI0070,L014-S005,L014,LOI,,28.0,28.0,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.1016/j.heliyon.2023.e13127,是
70,LOI0071,L014-S006,L014,LOI,,20.9,20.9,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.1016/j.heliyon.2023.e13127,是
71,LOI0072,L014-S007,L014,LOI,,25.8,25.8,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.1016/j.heliyon.2023.e13127,是
72,LOI0073,L014-S008,L014,LOI,,25.2,25.2,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.1016/j.heliyon.2023.e13127,是
73,LOI0074,L014-S009,L014,LOI,,24.5,24.5,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.1016/j.heliyon.2023.e13127,是
74,LOI0075,L014-S010,L014,LOI,,21.5,21.5,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.1016/j.heliyon.2023.e13127,是
75,LOI0076,L015-S001,L015,LOI,,25.0,25,%,,,LOI results,原文明确数值,与TG为同材料状态,CAB-PL摘要明确LOI由25提高至33；使用摘要/正文一致值,https://pmc.ncbi.nlm.nih.gov/articles/PMC6267167/,是
76,LOI0077,L015-S002,L015,LOI,,33.0,33,%,,,LOI results,原文明确数值,与TG为同材料状态,CAB-PL摘要明确LOI由25提高至33；使用摘要/正文一致值,https://pmc.ncbi.nlm.nih.gov/articles/PMC6267167/,是
77,LOI0078,L016-S001,L016,LOI,,20.0,20.0,%,,,LOI table,原文表格,与TG为同材料状态,,https://doi.org/10.3390/polym11121969,是
