<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: literature_sources.csv>index,study_id,题名,年份,期刊,DOI,来源链接,访问状态,纳入状态,原始数据状态,TG位置,LOI位置,检索日期,证据/审计说明
0,L001,Preparation and Mechanism of Flame-Retardant Cotton Fabric with Phosphoramidate Siloxane Polymer through Multistep Coating,2020,Polymers,10.3390/polym12071538,https://pmc.ncbi.nlm.nih.gov/articles/PMC7408352/,已读开放全文,纳入,TG图+LOI表/正文,TG/DTG figure,LOI results,2026-09-05,
1,L002,Preparation of a Novel Flame Retardant Formulation for Cotton Fabric,2020,Materials,10.3390/ma13010054,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,已读开放全文,纳入,TG表格（N2/O2）,TG table,,2026-09-05,
2,L003,Microwave Assisted Preparation of Flame Resistant Cotton Using Economic Inorganic Materials,2018,Fibers,10.3390/fib6040085,https://www.mdpi.com/2079-6439/6/4/85,已读开放全文,纳入,TG表格+LOI表,TGA results table,LOI table,2026-09-05,
3,L004,"Reactive Flame-Retardant Cotton Fabric Coating: Combustion Behavior, Durability, and Enhanced Retardant Mechanism with Ion Transfer",2022,Nanomaterials,10.3390/nano12224048,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,已读开放全文,纳入,TG表格+洗涤LOI表,Table 4,LOI durability table,2026-09-05,
4,L005,Fabrication of an Eco-Friendly Clay-Based Coating for Enhancing Flame Retardant and Mechanical Properties of Cotton Fabrics via LbL Assembly,2022,Polymers,10.3390/polym14224994,https://doi.org/10.3390/polym14224994,已读开放全文,纳入,TG图/部分正文数值+LOI表,TG figure/text,LOI table,2026-09-05,
5,L006,"Advanced Phosphorus–Protein Hybrid Coatings for Fire Safety of Cotton Fabrics, Developed Through the Layer-by-Layer Assembly Technique",2025,Polymers,10.3390/polym17070945,https://doi.org/10.3390/polym17070945,已读开放全文,纳入,TG表格+LOI表,TGA table,Table 3,2026-09-05,表中未处理棉LOI=17；正文另有19的表述，已标冲突
6,L007,Impact of Washing Parameters on Thermal Characteristics and Appearance of Proban®—Flame Retardant Material,2022,Materials,10.3390/ma15155373,https://doi.org/10.3390/ma15155373,已读开放全文,纳入,TG/TG-IR曲线+LOI表,TG/TG-IR figures,Table 7,2026-09-05,
7,L008,High-Efficient Flame-Retardant Finishing of Cotton Fabrics Based on Phytic Acid,2023,International Journal of Molecular Sciences,10.3390/ijms24021093,https://doi.org/10.3390/ijms24021093,已读开放全文,纳入,TG表格（N2/air）+LOI表,TGA table,LOI table,2026-09-05,
8,L009,Environmentally-Benign Phytic Acid-Based Multilayer Coating for Flame Retardant Cotton,2020,Materials,10.3390/ma13235492,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730485/,已读开放全文,纳入,TG表格+LOI表,Table 4,LOI table,2026-09-05,
9,L010,Environmentally Benign Phytic Acid-Based Nanocoating for Multifunctional Flame-Retardant/Antibacterial Cotton,2021,Fibers,10.3390/fib9110069,https://doi.org/10.3390/fib9110069,已读开放全文,纳入,空气TG表格+部分LOI,TGA table,LOI results,2026-09-05,
10,L011,Eco-Friendly Fire-Retardant Coating on Cotton Using Layer by Layer Deposition Technique,2024,Molecules,10.3390/molecules29245976,https://doi.org/10.3390/molecules29245976,已读开放全文,纳入,TG表格,TGA table,,2026-09-05,
11,L012,"Single-Step Phytate Flame-Retardant Coatings for Cotton, Polyester and Cotton/Polyester Blends",2026,Polymers,10.3390/polym18070819,https://doi.org/10.3390/polym18070819,已读开放全文,纳入,TG表格；LOI图,TGA table,LOI figure,2026-09-05,
12,L013,"Multifunctional Meta-Aramid Fabrics Enhanced with Inherent Flame-Retardant Polyurea Coatings: Integration of Mechanical Strength, Puncture Resistance, and Self-Healing Properties",2025,Polymers,10.3390/polym17111529,https://doi.org/10.3390/polym17111529,已读开放全文,纳入,TG表格+LOI表,TGA table,LOI table,2026-09-05,
13,L014,Flammability and comfort properties of blended knit fabrics made from inherently fire-resistant fibers to use for fire fighters,2023,Heliyon,10.1016/j.heliyon.2023.e13127,https://doi.org/10.1016/j.heliyon.2023.e13127,已读开放全文,纳入,15个样品有TG；LOI表,TGA section/table,LOI table,2026-09-05,
14,L015,Surface Coating for Flame Retardancy and Pyrolysis Behavior of Polyester Fabric Based on Calcium Alginate Nanocomposites,2018,Nanomaterials,10.3390/nano8110875,https://pmc.ncbi.nlm.nih.gov/articles/PMC6267167/,已读开放全文,纳入,TG曲线+LOI,Figure 5,LOI results,2026-09-05,
15,L016,Synthesis and Characterization of Aluminum 2-Carboxyethyl-Phenyl-Phosphinate and Its Flame-Retardant Application in Polyester,2019,Polymers,10.3390/polym11121969,https://doi.org/10.3390/polym11121969,已读开放全文,纳入,TG表格+LOI表,TGA table,LOI table,2026-09-05,
