<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: literature_tg.csv>index,tg_record_id,sample_id,study_id,气氛,气体流量(mL/min),升温速率(°C/min),起始温度(°C),终止温度(°C),T5(°C),T10(°C),T20(°C),Tonset(°C),Tmax1(°C),Tmax2(°C),Tmax3(°C),最大失重速率,速率单位,R400(%),R500(%),R600(%),R650(%),R700(%),R800(%),其他残余温度(°C),其他残余率(%),原文阶段/补充说明,数值来源,图表位置,字段溯源,缺失与限制,来源链接,是否有数值TG
0,TG0001,L001-S001,L001,N2,,,,800.0,,,,,,,,,,,,,,,,,,,原文图/正文,TG/DTG figure,TG/DTG曲线确认存在；当前仅保留曲线状态,首批未对曲线做数字化；不填目测T5/Tmax,https://pmc.ncbi.nlm.nih.gov/articles/PMC7408352/,否
1,TG0002,L001-S002,L001,N2,,,,800.0,,,,,,,,,,,,,,,,,,,原文图/正文,TG/DTG figure,TG/DTG曲线确认存在；当前仅保留曲线状态,首批未对曲线做数字化；不填目测T5/Tmax,https://pmc.ncbi.nlm.nih.gov/articles/PMC7408352/,否
2,TG0003,L001-S003,L001,N2,,,,800.0,,,,,,,,,,,,,,,,,,,原文图/正文,TG/DTG figure,TG/DTG曲线确认存在；当前仅保留曲线状态,首批未对曲线做数字化；不填目测T5/Tmax,https://pmc.ncbi.nlm.nih.gov/articles/PMC7408352/,否
3,TG0004,L002-S001,L002,N2,,10.0,30.0,600.0,,,,343.0,,,,,,,,7.1,,,,,,,原文表格,TGA table,Tonset/R600,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,是
4,TG0005,L002-S001,L002,O2/air,,10.0,30.0,600.0,,,,331.0,,,,,,,,0.2,,,,,,,原文表格,TGA table,Tonset/R600,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,是
5,TG0006,L002-S002,L002,N2,,10.0,30.0,600.0,,,,299.0,,,,,,,,27.8,,,,,,,原文表格,TGA table,Tonset/R600,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,是
6,TG0007,L002-S002,L002,O2/air,,10.0,30.0,600.0,,,,299.0,,,,,,,,8.7,,,,,,,原文表格,TGA table,Tonset/R600,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,是
7,TG0008,L002-S003,L002,N2,,10.0,30.0,600.0,,,,294.0,,,,,,,,30.1,,,,,,,原文表格,TGA table,Tonset/R600,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,是
8,TG0009,L002-S003,L002,O2/air,,10.0,30.0,600.0,,,,293.0,,,,,,,,12.4,,,,,,,原文表格,TGA table,Tonset/R600,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,是
9,TG0010,L002-S004,L002,N2,,10.0,30.0,600.0,,,,283.0,,,,,,,,35.2,,,,,,,原文表格,TGA table,Tonset/R600,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,是
10,TG0011,L002-S004,L002,O2/air,,10.0,30.0,600.0,,,,285.0,,,,,,,,14.1,,,,,,,原文表格,TGA table,Tonset/R600,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,是
11,TG0012,L002-S005,L002,N2,,10.0,30.0,600.0,,,,326.0,,,,,,,,8.0,,,,,,,原文表格,TGA table,Tonset/R600,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,是
