<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: priority_download.csv>index,candidate_id,下载批次,基材类别,题名,年份,期刊,DOI,下载入口,TG证据,LOI证据,预计状态_低,预计状态_高,访问状态,下载/提取提示
0,C099,A01,聚酯,Advanced flame retardant polyester via nitrogen–phosphorus synergism and plasma-driven surface functionalization,2026,Surfaces and Interfaces,10.1016/j.surfin.2026.108657,https://doi.org/10.1016/j.surfin.2026.108657,TG/DTG已确认,LOI已确认,8,18,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
1,C100,A01,聚酯,Construction of nano-multilayer coatings on copolyester fabrics using UV-grafting mediated layer-by-layer self-assembly for improved anti-droplet and flame retardent performance,2021,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2020.109405,https://doi.org/10.1016/j.polymdegradstab.2020.109405,TG/DTG已确认,LOI已确认,7,18,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
2,C125,A01,棉/聚酯,Eco-Friendly and Facile Integrated Intumescent Polyelectrolyte Complex Coating with Universal Flame Retardancy and Smoke Suppression for Cotton and its Blending Fabrics,2023,ACS Sustainable Chemistry & Engineering,10.1021/acssuschemeng.3c00028,https://doi.org/10.1021/acssuschemeng.3c00028,SI明确含TG曲线和TGA数据表,SI明确含LOI表,8,18,正文付费墙；Supporting Information可直接获取,SI可直接获取；先从SI的TG/LOI表批量提取，再补正文样品映射
3,C126,A01,棉/聚酯,Thermoanalytical studies of flame-retardant polyester/cotton textile blends: a comparison of THPC-urea-PVBr and THPOH ammonia treatments,1977,Thermochimica Acta,10.1016/0040-6031(77)85082-X,https://doi.org/10.1016/0040-6031(77)85082-X,TG/热分析已确认,LOI待PDF确认,10,18,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
4,C127,A01,棉/聚酯,Thermogravimetric analysis of polyester/cotton blends treated with Thpc-urea-poly(vinyl bromide),1976,Thermochimica Acta,10.1016/0040-6031(76)85053-8,https://doi.org/10.1016/0040-6031(76)85053-8,TG已确认,LOI待PDF确认,12,18,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
5,C101,A01,聚酯,Metallic phytates modified polyurethane coating for constructing long-lasting flame-retardant outdoor polyester fabric,2024,Progress in Organic Coatings,10.1016/j.porgcoat.2023.108205,https://doi.org/10.1016/j.porgcoat.2023.108205,TG/DTG已确认,LOI已确认,7,16,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
6,C102,A01,聚酯,Highly efficient flame retardation of polyester fabrics via novel DOPO-modified sol-gel coatings,2021,Polymer,10.1016/j.polymer.2021.123761,https://doi.org/10.1016/j.polymer.2021.123761,TG已确认,LOI已确认,7,16,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
7,C103,A01,聚酯,Flame retardant polyester fabric from nitrogen-rich low molecular weight additives within intumescent nanocoating,2019,Polymer Degradation and Stability,10.1016/j.polymdegradstab.2019.108998,https://doi.org/10.1016/j.polymdegradstab.2019.108998,TG已确认,LOI/燃烧已确认,7,16,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
8,C104,A01,聚酯,A Highly Wash-Durable Flame-Retardant Finishing for Polyester (PET) Fabrics via a Facile Postfinishing,2026,ACS Applied Polymer Materials,10.1021/acsapm.5c03938,https://doi.org/10.1021/acsapm.5c03938,TG待PDF确认,LOI已确认,6,15,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
9,C105,A01,聚酯,Flame-Retardant and Electromagnetic Interference Shielding Hierarchical Composites by Interfacial Integration of TPU/APP@ZrCu-MOF/SCF and Functionalized Polyester Fabric,2026,ACS Applied Polymer Materials,10.1021/acsapm.6c01300,https://doi.org/10.1021/acsapm.6c01300,支持信息明确含TGA曲线和数据,LOI已确认,6,15,出版社页已找到；全文权限待下载,先下载正文+SI；优先提取全部处理量/层数/洗涤状态，不只取最佳配方
