<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: samples.csv>index,sample_id,material_id,study_id,原始样品名,基材类别,组成,混纺比例,聚合物亚型,材料形态,面密度(g/m²),处理状态,处理化学/阻燃剂,处理方法,添加量,添加量单位,添加量基准,样品状态,洗涤次数,洗涤标准,文献确认TG,文献确认LOI,基准角色,原文位置,限制说明,来源链接,TG记录数,TG数值状态,LOI数值状态,TG+LOI数值配对
0,L001-S001,L001-M001,L001,Control cotton,棉,100% cotton,,,织物,,未处理,,,0.0,%,add-on,,,,是,是,主参照,sample/TGA/LOI sections,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7408352/,1,仅曲线/待数字化,有数值,否
1,L001-S002,L001-M002,L001,Cotton-PDTSP-1T,棉,100% cotton,,,织物,,阻燃处理,phosphoramidate siloxane polymer (PDTSP),multistep coating,8.8,%,add-on,,,,是,是,主参照,sample/TGA/LOI sections,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7408352/,1,仅曲线/待数字化,有数值,否
2,L001-S003,L001-M003,L001,Cotton-PDTSP-2T,棉,100% cotton,,,织物,,阻燃处理,phosphoramidate siloxane polymer (PDTSP),multistep coating,13.8,%,add-on,,,,是,是,主参照,sample/TGA/LOI sections,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7408352/,1,仅曲线/待数字化,有数值,否
3,L002-S001,L002-M001,L002,COT,棉,100% cotton,,,织物,,未处理,,,,,,,,,是,否,主参照,TGA table,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,2,有数值,无LOI,否
4,L002-S002,L002-M002,L002,COT-20,棉,100% cotton,,,织物,,阻燃处理,novel flame-retardant formulation,,,,,,,,是,否,主参照,TGA table,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,2,有数值,无LOI,否
5,L002-S003,L002-M003,L002,COT-25,棉,100% cotton,,,织物,,阻燃处理,novel flame-retardant formulation,,,,,,,,是,否,主参照,TGA table,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,2,有数值,无LOI,否
6,L002-S004,L002-M004,L002,COT-30,棉,100% cotton,,,织物,,阻燃处理,novel flame-retardant formulation,,,,,,,,是,否,主参照,TGA table,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,2,有数值,无LOI,否
7,L002-S005,L002-M005,L002,COT-A,棉,100% cotton,,,织物,,阻燃处理,novel flame-retardant formulation,,,,,,,,是,否,主参照,TGA table,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,2,有数值,无LOI,否
8,L003-S001,L003-M001,L003,Control,棉,100% cotton,,,织物,,未处理,,,,,,,,,是,是,主参照,TGA/LOI tables,,https://www.mdpi.com/2079-6439/6/4/85,1,有数值,有数值,是
9,L003-S002,L003-M002,L003,U1,棉,100% cotton,,,织物,,阻燃处理,urea,microwave-assisted treatment,,,,,,,是,是,主参照,TGA/LOI tables,,https://www.mdpi.com/2079-6439/6/4/85,1,有数值,有数值,是
10,L003-S003,L003-M003,L003,U2,棉,100% cotton,,,织物,,阻燃处理,urea,microwave-assisted treatment,,,,,,,是,是,主参照,TGA/LOI tables,,https://www.mdpi.com/2079-6439/6/4/85,1,有数值,有数值,是
11,L003-S004,L003-M004,L003,U3,棉,100% cotton,,,织物,,阻燃处理,urea,microwave-assisted treatment,,,,,,,是,是,主参照,TGA/LOI tables,,https://www.mdpi.com/2079-6439/6/4/85,1,有数值,有数值,是
12,L003-S005,L003-M005,L003,U4,棉,100% cotton,,,织物,,阻燃处理,urea,microwave-assisted treatment,,,,,,,是,是,主参照,TGA/LOI tables,,https://www.mdpi.com/2079-6439/6/4/85,1,有数值,有数值,是
13,L003-S006,L003-M006,L003,UD1,棉,100% cotton,,,织物,,阻燃处理,urea + diammonium phosphate,microwave-assisted treatment,,,,,,,是,是,主参照,TGA/LOI tables,,https://www.mdpi.com/2079-6439/6/4/85,1,有数值,有数值,是
14,L003-S007,L003-M007,L003,UD2,棉,100% cotton,,,织物,,阻燃处理,urea + diammonium phosphate,microwave-assisted treatment,,,,,,,是,是,主参照,TGA/LOI tables,,https://www.mdpi.com/2079-6439/6/4/85,1,有数值,有数值,是
15,L003-S008,L003-M008,L003,UD3,棉,100% cotton,,,织物,,阻燃处理,urea + diammonium phosphate,microwave-assisted treatment,,,,,,,是,是,主参照,TGA/LOI tables,,https://www.mdpi.com/2079-6439/6/4/85,1,有数值,有数值,是
16,L003-S009,L003-M009,L003,UD4,棉,100% cotton,,,织物,,阻燃处理,urea + diammonium phosphate,microwave-assisted treatment,,,,,,,是,是,主参照,TGA/LOI tables,,https://www.mdpi.com/2079-6439/6/4/85,1,有数值,有数值,是
17,L004-S001,L004-M001,L004,Control cotton,棉,100% cotton,,,织物,,未处理,,,,,,,,,是,否,主参照,Table 4,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,1,有数值,无LOI,否
18,L004-S002,L004-M002,L004,BDA-30 (1 LCs),棉,100% cotton,,,织物,,阻燃处理,boric acid + DTPMPA ammonium salt chelating FR (BDA),reactive coating,,,,1 laundering cycles,1.0,,否,是,主参照,LOI durability table; Table 4 for 50 LCs,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,0,无TG,有数值,否
19,L004-S003,L004-M003,L004,BDA-60 (1 LCs),棉,100% cotton,,,织物,,阻燃处理,boric acid + DTPMPA ammonium salt chelating FR (BDA),reactive coating,,,,1 laundering cycles,1.0,,否,是,主参照,LOI durability table; Table 4 for 50 LCs,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,0,无TG,有数值,否
20,L004-S004,L004-M004,L004,BDA-90 (1 LCs),棉,100% cotton,,,织物,,阻燃处理,boric acid + DTPMPA ammonium salt chelating FR (BDA),reactive coating,,,,1 laundering cycles,1.0,,否,是,主参照,LOI durability table; Table 4 for 50 LCs,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,0,无TG,有数值,否
21,L004-S005,L004-M005,L004,BDA-120 (1 LCs),棉,100% cotton,,,织物,,阻燃处理,boric acid + DTPMPA ammonium salt chelating FR (BDA),reactive coating,,,,1 laundering cycles,1.0,,否,是,主参照,LOI durability table; Table 4 for 50 LCs,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9695240/,0,无TG,有数值,否
