<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: scatter_ready.csv>index,record_id,dataset_type,sample_id,study_id,evidence_level,brand_or_system,material_category,material_form,composition,sample_state,treatment_state,treatment_chemistry,treatment_method,add_on,add_on_unit,atmosphere,gas_flow_mL_min,heating_rate_C_min,T5_C,T10_C,T20_C,Tonset_C,Tmax1_C,Tmax2_C,Tmax3_C,max_mass_loss_rate,rate_unit,R400_pct,R500_pct,R600_pct,R650_pct,R700_pct,R800_pct,residue_temp_C,residue_pct,LOI_pct,numeric_TG,numeric_LOI,direct_numeric_use,source_title,year,journal_or_source_type,DOI,source_url,source_location,limitations
0,TG0001,literature,L001-S001,L001,,,棉,织物,100% cotton,Control cotton,未处理,,,0.0,%,N2,,,,,,,,,,,,,,,,,,,,18.4,否,是,否,Preparation and Mechanism of Flame-Retardant Cotton Fabric with Phosphoramidate Siloxane Polymer through Multistep Coating,2020.0,Polymers,10.3390/polym12071538,https://pmc.ncbi.nlm.nih.gov/articles/PMC7408352/,TG/DTG figure,首批未对曲线做数字化；不填目测T5/Tmax
1,TG0002,literature,L001-S002,L001,,,棉,织物,100% cotton,Cotton-PDTSP-1T,阻燃处理,phosphoramidate siloxane polymer (PDTSP),multistep coating,8.8,%,N2,,,,,,,,,,,,,,,,,,,,24.2,否,是,否,Preparation and Mechanism of Flame-Retardant Cotton Fabric with Phosphoramidate Siloxane Polymer through Multistep Coating,2020.0,Polymers,10.3390/polym12071538,https://pmc.ncbi.nlm.nih.gov/articles/PMC7408352/,TG/DTG figure,首批未对曲线做数字化；不填目测T5/Tmax
2,TG0003,literature,L001-S003,L001,,,棉,织物,100% cotton,Cotton-PDTSP-2T,阻燃处理,phosphoramidate siloxane polymer (PDTSP),multistep coating,13.8,%,N2,,,,,,,,,,,,,,,,,,,,27.1,否,是,否,Preparation and Mechanism of Flame-Retardant Cotton Fabric with Phosphoramidate Siloxane Polymer through Multistep Coating,2020.0,Polymers,10.3390/polym12071538,https://pmc.ncbi.nlm.nih.gov/articles/PMC7408352/,TG/DTG figure,首批未对曲线做数字化；不填目测T5/Tmax
3,TG0004,literature,L002-S001,L002,,,棉,织物,100% cotton,COT,未处理,,,,,N2,,10,,,,343.0,,,,,,,,7.1,,,,,,,是,否,否,Preparation of a Novel Flame Retardant Formulation for Cotton Fabric,2020.0,Materials,10.3390/ma13010054,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,TGA table,
4,TG0005,literature,L002-S001,L002,,,棉,织物,100% cotton,COT,未处理,,,,,O2/air,,10,,,,331.0,,,,,,,,0.2,,,,,,,是,否,否,Preparation of a Novel Flame Retardant Formulation for Cotton Fabric,2020.0,Materials,10.3390/ma13010054,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,TGA table,
5,TG0006,literature,L002-S002,L002,,,棉,织物,100% cotton,COT-20,阻燃处理,novel flame-retardant formulation,,,,N2,,10,,,,299.0,,,,,,,,27.8,,,,,,,是,否,否,Preparation of a Novel Flame Retardant Formulation for Cotton Fabric,2020.0,Materials,10.3390/ma13010054,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,TGA table,
6,TG0007,literature,L002-S002,L002,,,棉,织物,100% cotton,COT-20,阻燃处理,novel flame-retardant formulation,,,,O2/air,,10,,,,299.0,,,,,,,,8.7,,,,,,,是,否,否,Preparation of a Novel Flame Retardant Formulation for Cotton Fabric,2020.0,Materials,10.3390/ma13010054,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,TGA table,
7,TG0008,literature,L002-S003,L002,,,棉,织物,100% cotton,COT-25,阻燃处理,novel flame-retardant formulation,,,,N2,,10,,,,294.0,,,,,,,,30.1,,,,,,,是,否,否,Preparation of a Novel Flame Retardant Formulation for Cotton Fabric,2020.0,Materials,10.3390/ma13010054,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,TGA table,
8,TG0009,literature,L002-S003,L002,,,棉,织物,100% cotton,COT-25,阻燃处理,novel flame-retardant formulation,,,,O2/air,,10,,,,293.0,,,,,,,,12.4,,,,,,,是,否,否,Preparation of a Novel Flame Retardant Formulation for Cotton Fabric,2020.0,Materials,10.3390/ma13010054,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,TGA table,
9,TG0010,literature,L002-S004,L002,,,棉,织物,100% cotton,COT-30,阻燃处理,novel flame-retardant formulation,,,,N2,,10,,,,283.0,,,,,,,,35.2,,,,,,,是,否,否,Preparation of a Novel Flame Retardant Formulation for Cotton Fabric,2020.0,Materials,10.3390/ma13010054,https://pmc.ncbi.nlm.nih.gov/articles/PMC6981709/,TGA table,
