<PARSED TEXT FOR SHEET: 1 / 1 TABS,DOI,FR_concentration_g_L,LOI_max_pct,LOI_min_pct,LOI_pct,LOI_state,LOI_uncertainty_pct,PA_UR_concentration_g_L,PA_dosage_owf_pct,R400_pct,R500_pct,R550_pct,R600_pct,R650_pct,R700_pct,R750_pct,R800_pct,T10_C,T1_C,T20_C,T40_C,T50_C,T5_C,Tmax1_C,Tmax2_C,Tmax3_C,Tmax4_C,Tonset_C,add_on_pct,add_on_pct_initial,application,area_density_g_m2,atmosphere,batch_id,bilayers,commercial_FR_product,commercial_fabric_id,composition,dataset_type,decomposition_end_C,direct_numeric_use,evidence,gas_flow_mL_min,grafting_pct,heating_rate_C_min,journal,limitations,loading_pct,material_category,material_form,material_form_LOI,material_form_TGA,max_mass_loss_rate,max_mass_loss_rate1,max_mass_loss_rate2,rate_unit,residue_at_Tmax1_pct,residue_at_Tmax2_pct,residue_at_Tmax3_pct,residue_at_Tmax_pct,sample_state,source_file,source_location,source_title,source_type,source_url,stage1_end_C,stage1_mass_loss_pct,stage1_start_C,stage2_end_C,stage2_mass_loss_pct,stage2_start_C,stage3_mass_loss_pct,stage3_start_C,treatment_chemistry,treatment_method,treatment_state,trilayers,washing_state,weight_gain_pct,year,pair_quality,pair_key
,10.3390/ma13235492,,,,26.0,,,,,,,,,6.96,,,,,,,,,,,,,,,,,,,air,AUTO-20260924,,,,,literature,,TG+LOI,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,,,30.0,Materials,Automatically promoted only because exact table-level sample matching and complete TGA conditions satisfied conservative Grade-A rules.,,cotton,fabric,,,,,,,,,,,8,data/incoming/verified_auto_20260924.csv,LOI table: Table 1 Weight gain and limiting oxygen index data.; TG table: Table 4 Summary of thermogravimetric analysis of treated and untreated cotton.,Environmentally-Benign Phytic Acid-Based Multilayer Coating for Flame Retardant Cotton,,https://europepmc.org/articles/PMC7730485,,,,,,,,,,,,,,,2020.0,A,10.3390/ma13235492||8||air||30.0
,10.3390/ma13235492,,,,28.0,,,,,,,,,14.63,,,,,,,,,,,,,,,,,,,air,AUTO-20260924,,,,,literature,,TG+LOI,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,,,30.0,Materials,Automatically promoted only because exact table-level sample matching and complete TGA conditions satisfied conservative Grade-A rules.,,cotton,fabric,,,,,,,,,,,10,data/incoming/verified_auto_20260924.csv,LOI table: Table 1 Weight gain and limiting oxygen index data.; TG table: Table 4 Summary of thermogravimetric analysis of treated and untreated cotton.,Environmentally-Benign Phytic Acid-Based Multilayer Coating for Flame Retardant Cotton,,https://europepmc.org/articles/PMC7730485,,,,,,,,,,,,,,,2020.0,A,10.3390/ma13235492||10||air||30.0
,10.3390/ma13235492,,,,29.0,,,,,,,,,13.82,,,,,,,,,,,,,,,,,,,air,AUTO-20260924,,,,,literature,,TG+LOI,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,,,30.0,Materials,Automatically promoted only because exact table-level sample matching and complete TGA conditions satisfied conservative Grade-A rules.,,cotton,fabric,,,,,,,,,,,12,data/incoming/verified_auto_20260924.csv,LOI table: Table 1 Weight gain and limiting oxygen index data.; TG table: Table 4 Summary of thermogravimetric analysis of treated and untreated cotton.,Environmentally-Benign Phytic Acid-Based Multilayer Coating for Flame Retardant Cotton,,https://europepmc.org/articles/PMC7730485,,,,,,,,,,,,,,,2020.0,A,10.3390/ma13235492||12||air||30.0
,10.3390/ma13235492,,,,31.0,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,air,AUTO-20260924,,,,,literature,,TG+LOI,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,,,30.0,Materials,Automatically promoted only because exact table-level sample matching and complete TGA conditions satisfied conservative Grade-A rules.,,cotton,fabric,,,,,,,,,,,15,data/incoming/verified_auto_20260924.csv,LOI table: Table 1 Weight gain and limiting oxygen index data.; TG table: Table 4 Summary of thermogravimetric analysis of treated and untreated cotton.,Environmentally-Benign Phytic Acid-Based Multilayer Coating for Flame Retardant Cotton,,https://europepmc.org/articles/PMC7730485,,,,,,,,,,,,,,,2020.0,A,10.3390/ma13235492||15||air||30.0
,10.3390/polym8040122,,,,23.6,untreated,,,0.0,,,,,,2.8,,,,,270.0,,399.9,,,,,,,,,,,air,B20260921-161,,,,wool,,,TG+LOI,"Open full text Table 2 provides T20, T50 and R700 under air and nitrogen. Methods state 30–700 °C at 10 °C/min and explicitly give air flow 20 mL/min. Exact untreated LOI=23.6 is stated in text. Treated intermediate LOI values are only plotted in Figure 5 and are not numerically transcribed.",20.0,,10.0,Polymers,The methods text explicitly specifies air flow 20 mL/min while Table 2 also reports nitrogen data; nitrogen flow rate is therefore left blank. Text states LOI 35.2 at 140% owf PA whereas TGA states are Wool-40/80/120; no treated LOI is paired by inference.,,wool,scoured woven fabric,,,,,,,,,,,Wool-0,data/incoming/verified_tg_batch_20260921_b14_wool_phytic_acid.csv,Methods §2.3–2.4; Figure 5; Table 2,Adsorption and Flame Retardant Properties of Bio-Based Phytic Acid on Wool Fabric,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6431959/,,,,,,,,,phytic acid (PA),"exhaustion treatment; pH 1.2; start 30 °C, heat to 90 °C at 2 °C/min, hold 60 min; liquor ratio 15:1 for FR samples",untreated,,,0.0,2016.0,A,10.3390/polym8040122||Wool-0||air||10.0
,10.3390/polym8040122,,,,23.6,untreated,,,0.0,,,,,,22.3,,,,,264.9,,343.7,,,,,,,,,,,N2,B20260921-165,,,,wool,,,TG+LOI,"Open full text Table 2 provides T20, T50 and R700 under air and nitrogen. Methods state 30–700 °C at 10 °C/min and explicitly give air flow 20 mL/min. Exact untreated LOI=23.6 is stated in text. Treated intermediate LOI values are only plotted in Figure 5 and are not numerically transcribed.",,,10.0,Polymers,The methods text explicitly specifies air flow 20 mL/min while Table 2 also reports nitrogen data; nitrogen flow rate is therefore left blank. Text states LOI 35.2 at 140% owf PA whereas TGA states are Wool-40/80/120; no treated LOI is paired by inference.,,wool,scoured woven fabric,,,,,,,,,,,Wool-0,data/incoming/verified_tg_batch_20260921_b14_wool_phytic_acid.csv,Methods §2.3–2.4; Figure 5; Table 2,Adsorption and Flame Retardant Properties of Bio-Based Phytic Acid on Wool Fabric,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6431959/,,,,,,,,,phytic acid (PA),"exhaustion treatment; pH 1.2; start 30 °C, heat to 90 °C at 2 °C/min, hold 60 min; liquor ratio 15:1 for FR samples",untreated,,,0.0,2016.0,A,10.3390/polym8040122||Wool-0||N2||10.0
,10.1177/1558925019870301,,,,21.1,as prepared,0.08,,,,,,5.09,,,,,402.0,,,,,,436.0,,,,,,,automotive interior / decorative textile,110.0,N2,B20260921-169,0.0,,,100% PET,,,TG+LOI,Open-access full article. Table 1 gives add-on and LOI for the primary PET/PET-1/PET-5/PET-10/PET-20 LBL series; Tables 3–4 give TGA for the same named untreated/LBL-treated series in N2 and air. TGA: room temperature to 650 °C at 10 °C/min.,,,10.0,Journal of Engineered Fibers and Fabrics,The paper separately studies an alkali-pretreated LBL series in Table 2 using the same PET-1/PET-5/... labels. The TGA section refers to the primary untreated/LBL-assembled series and does not report a separate alkali-pretreated TGA dataset; rows here are therefore mapped to the non-alkali primary series and retain its Table 1 add-ons.,,polyester,knitted fabric,,,,2.04,,,,,,,PET,data/incoming/verified_web_batch_20260921_b15_pet_lbl_automotive.csv,"Experimental §§ Materials/LBL/Characterization; Tables 1, 3, 4",Layer-by-layer assembly flame-retardant and anti-dripping treatment of polyethylene terephthalate fabrics,,https://journals.sagepub.com/doi/full/10.1177/1558925019870301,,,,,,,,,branched polyethylenimine (BPEI) / ammonium polyphosphate (APP) layer-by-layer coating,"alternating BPEI (0.5 wt%, pH 10) and APP (0.5 wt%, pH 4) dip/rinse/dry cycles; no alkali pretreatment for this primary series",untreated,,,,2019.0,A,10.1177/1558925019870301||PET||N2||10.0
,10.1177/1558925019870301,,,,22.2,as prepared,0.11,,,,,,6.69,,,,,400.0,,,,,,437.0,,,,,0.34,,automotive interior / decorative textile,110.0,N2,B20260921-170,1.0,,,100% PET,,,TG+LOI,Open-access full article. Table 1 gives add-on and LOI for the primary PET/PET-1/PET-5/PET-10/PET-20 LBL series; Tables 3–4 give TGA for the same named untreated/LBL-treated series in N2 and air. TGA: room temperature to 650 °C at 10 °C/min.,,,10.0,Journal of Engineered Fibers and Fabrics,The paper separately studies an alkali-pretreated LBL series in Table 2 using the same PET-1/PET-5/... labels. The TGA section refers to the primary untreated/LBL-assembled series and does not report a separate alkali-pretreated TGA dataset; rows here are therefore mapped to the non-alkali primary series and retain its Table 1 add-ons.,,polyester,knitted fabric,,,,2.02,,,,,,,PET-1,data/incoming/verified_web_batch_20260921_b15_pet_lbl_automotive.csv,"Experimental §§ Materials/LBL/Characterization; Tables 1, 3, 4",Layer-by-layer assembly flame-retardant and anti-dripping treatment of polyethylene terephthalate fabrics,,https://journals.sagepub.com/doi/full/10.1177/1558925019870301,,,,,,,,,branched polyethylenimine (BPEI) / ammonium polyphosphate (APP) layer-by-layer coating,"alternating BPEI (0.5 wt%, pH 10) and APP (0.5 wt%, pH 4) dip/rinse/dry cycles; no alkali pretreatment for this primary series",FR treated,,,,2019.0,A,10.1177/1558925019870301||PET-1||N2||10.0
,10.1177/1558925019870301,,,,24.0,as prepared,0.13,,,,,,7.1,,,,,398.0,,,,,,438.0,,,,,1.17,,automotive interior / decorative textile,110.0,N2,B20260921-171,5.0,,,100% PET,,,TG+LOI,Open-access full article. Table 1 gives add-on and LOI for the primary PET/PET-1/PET-5/PET-10/PET-20 LBL series; Tables 3–4 give TGA for the same named untreated/LBL-treated series in N2 and air. TGA: room temperature to 650 °C at 10 °C/min.,,,10.0,Journal of Engineered Fibers and Fabrics,The paper separately studies an alkali-pretreated LBL series in Table 2 using the same PET-1/PET-5/... labels. The TGA section refers to the primary untreated/LBL-assembled series and does not report a separate alkali-pretreated TGA dataset; rows here are therefore mapped to the non-alkali primary series and retain its Table 1 add-ons.,,polyester,knitted fabric,,,,1.96,,,,,,,PET-5,data/incoming/verified_web_batch_20260921_b15_pet_lbl_automotive.csv,"Experimental §§ Materials/LBL/Characterization; Tables 1, 3, 4",Layer-by-layer assembly flame-retardant and anti-dripping treatment of polyethylene terephthalate fabrics,,https://journals.sagepub.com/doi/full/10.1177/1558925019870301,,,,,,,,,branched polyethylenimine (BPEI) / ammonium polyphosphate (APP) layer-by-layer coating,"alternating BPEI (0.5 wt%, pH 10) and APP (0.5 wt%, pH 4) dip/rinse/dry cycles; no alkali pretreatment for this primary series",FR treated,,,,2019.0,A,10.1177/1558925019870301||PET-5||N2||10.0
,10.1177/1558925019870301,,,,25.2,as prepared,0.08,,,,,,7.56,,,,,397.0,,,,,,443.0,,,,,2.89,,automotive interior / decorative textile,110.0,N2,B20260921-172,10.0,,,100% PET,,,TG+LOI,Open-access full article. Table 1 gives add-on and LOI for the primary PET/PET-1/PET-5/PET-10/PET-20 LBL series; Tables 3–4 give TGA for the same named untreated/LBL-treated series in N2 and air. TGA: room temperature to 650 °C at 10 °C/min.,,,10.0,Journal of Engineered Fibers and Fabrics,The paper separately studies an alkali-pretreated LBL series in Table 2 using the same PET-1/PET-5/... labels. The TGA section refers to the primary untreated/LBL-assembled series and does not report a separate alkali-pretreated TGA dataset; rows here are therefore mapped to the non-alkali primary series and retain its Table 1 add-ons.,,polyester,knitted fabric,,,,1.92,,,,,,,PET-10,data/incoming/verified_web_batch_20260921_b15_pet_lbl_automotive.csv,"Experimental §§ Materials/LBL/Characterization; Tables 1, 3, 4",Layer-by-layer assembly flame-retardant and anti-dripping treatment of polyethylene terephthalate fabrics,,https://journals.sagepub.com/doi/full/10.1177/1558925019870301,,,,,,,,,branched polyethylenimine (BPEI) / ammonium polyphosphate (APP) layer-by-layer coating,"alternating BPEI (0.5 wt%, pH 10) and APP (0.5 wt%, pH 4) dip/rinse/dry cycles; no alkali pretreatment for this primary series",FR treated,,,,2019.0,A,10.1177/1558925019870301||PET-10||N2||10.0
